[0.000377] INIT: Logger started :)
[0.234119] EVENT: Camera Initialized Successfully
[0.778089] EVENT: Serial port /dev/ttyACM1 opened
[0.778411] EVENT: Starting Flight controller loop
[0.780331] EVENT: IMU serial port /dev/ttyACM0 opened
[0.780510] EVENT: IMU sensor data loop started
[0.780894] EVENT: Parameters parsed for blob detector
[0.981477] EVENT: Tracking loop started
[3.258184] DEBUG: Frame 0 process time: 2.276613s
[3.392893] DEBUG: Frame 1 process time: 0.101282s
[3.512730] DEBUG: Frame 2 process time: 0.089374s
[3.629477] DEBUG: Frame 3 process time: 0.082965s
[3.742746] DEBUG: Frame 4 process time: 0.082162s
[3.851948] DEBUG: Frame 5 process time: 0.078005s
[3.959598] DEBUG: Frame 6 process time: 0.077408s
[4.068872] DEBUG: Frame 7 process time: 0.078270s
[4.179011] DEBUG: Frame 8 process time: 0.079841s
[4.288691] DEBUG: Frame 9 process time: 0.078856s
[4.397908] DEBUG: Frame 10 process time: 0.078272s
[4.506324] DEBUG: Frame 11 process time: 0.078162s
[4.616761] DEBUG: Frame 12 process time: 0.079475s
[4.726333] DEBUG: Frame 13 process time: 0.078680s
[4.839164] DEBUG: Frame 14 process time: 0.081887s
[4.954323] DEBUG: Frame 15 process time: 0.084284s
[5.066997] DEBUG: Frame 16 process time: 0.081865s
[5.180134] DEBUG: Frame 17 process time: 0.082585s
[5.293596] DEBUG: Frame 18 process time: 0.082605s
[5.405910] DEBUG: Frame 19 process time: 0.081495s
[5.517781] DEBUG: Frame 20 process time: 0.080906s
[5.629974] DEBUG: Frame 21 process time: 0.081516s
[5.742597] DEBUG: Frame 22 process time: 0.082205s
[5.855987] DEBUG: Frame 23 process time: 0.082279s
[5.969001] DEBUG: Frame 24 process time: 0.082164s
[6.082286] DEBUG: Frame 25 process time: 0.082192s
[6.194669] DEBUG: Frame 26 process time: 0.081316s
[6.307466] DEBUG: Frame 27 process time: 0.081998s
[6.420266] DEBUG: Frame 28 process time: 0.082068s
[6.533038] DEBUG: Frame 29 process time: 0.081909s
[6.645366] DEBUG: Frame 30 process time: 0.082138s
[6.758660] DEBUG: Frame 31 process time: 0.083131s
[6.871411] DEBUG: Frame 32 process time: 0.081820s
[6.984261] DEBUG: Frame 33 process time: 0.082380s
[7.096367] DEBUG: Frame 34 process time: 0.081906s
[7.209587] DEBUG: Frame 35 process time: 0.082320s
[7.322540] DEBUG: Frame 36 process time: 0.082065s
[7.435319] DEBUG: Frame 37 process time: 0.082213s
[7.548150] DEBUG: Frame 38 process time: 0.082146s
[7.660891] DEBUG: Frame 39 process time: 0.082336s
[7.773762] DEBUG: Frame 40 process time: 0.082321s
[7.886345] DEBUG: Frame 41 process time: 0.081846s
[7.998511] DEBUG: Frame 42 process time: 0.081906s
[8.111496] DEBUG: Frame 43 process time: 0.082359s
[8.225136] DEBUG: Frame 44 process time: 0.082879s
[8.338497] DEBUG: Frame 45 process time: 0.082522s
[8.451515] DEBUG: Frame 46 process time: 0.082499s
[8.563676] DEBUG: Frame 47 process time: 0.081527s
[8.676181] DEBUG: Frame 48 process time: 0.082040s
[8.788992] DEBUG: Frame 49 process time: 0.082324s
[8.902892] DEBUG: Frame 50 process time: 0.082810s
[9.016012] DEBUG: Frame 51 process time: 0.082670s
[9.129389] DEBUG: Frame 52 process time: 0.082801s
[9.242120] DEBUG: Frame 53 process time: 0.081985s
[9.354184] DEBUG: Frame 54 process time: 0.081924s
[9.467329] DEBUG: Frame 55 process time: 0.082740s
[9.581842] DEBUG: Frame 56 process time: 0.083833s
[9.694243] DEBUG: Frame 57 process time: 0.081510s
[9.805573] DEBUG: Frame 58 process time: 0.081063s
[9.917410] DEBUG: Frame 59 process time: 0.081392s
[10.029596] DEBUG: Frame 60 process time: 0.081508s
[10.141424] DEBUG: Frame 61 process time: 0.081388s
[10.253988] DEBUG: Frame 62 process time: 0.081645s
[10.365938] DEBUG: Frame 63 process time: 0.081527s
[10.478698] DEBUG: Frame 64 process time: 0.081954s
[10.592219] DEBUG: Frame 65 process time: 0.082547s
[11.044327] DEBUG: Frame 66 process time: 0.421465s
[11.158331] DEBUG: Frame 67 process time: 0.083145s
[11.271489] DEBUG: Frame 68 process time: 0.082314s
[11.384721] DEBUG: Frame 69 process time: 0.082494s
[11.496683] DEBUG: Frame 70 process time: 0.081271s
[11.610078] DEBUG: Frame 71 process time: 0.082830s
[11.725126] DEBUG: Frame 72 process time: 0.084238s
[11.838046] DEBUG: Frame 73 process time: 0.082668s
[11.951389] DEBUG: Frame 74 process time: 0.082796s
[12.065182] DEBUG: Frame 75 process time: 0.083002s
[12.178383] DEBUG: Frame 76 process time: 0.082658s
[12.292473] DEBUG: Frame 77 process time: 0.083361s
[12.404998] DEBUG: Frame 78 process time: 0.081894s
[12.517945] DEBUG: Frame 79 process time: 0.082387s
[12.630860] DEBUG: Frame 80 process time: 0.082145s
[12.743781] DEBUG: Frame 81 process time: 0.081881s
[12.857001] DEBUG: Frame 82 process time: 0.082342s
[12.970392] DEBUG: Frame 83 process time: 0.082865s
[13.082424] DEBUG: Frame 84 process time: 0.081449s
[13.195272] DEBUG: Frame 85 process time: 0.082496s
[13.307660] DEBUG: Frame 86 process time: 0.081684s
[13.420823] DEBUG: Frame 87 process time: 0.082331s
[13.534066] DEBUG: Frame 88 process time: 0.082625s
[13.647802] DEBUG: Frame 89 process time: 0.083001s
[13.760901] DEBUG: Frame 90 process time: 0.082245s
[13.873859] DEBUG: Frame 91 process time: 0.082331s
[13.987604] DEBUG: Frame 92 process time: 0.082960s
[14.103204] DEBUG: Frame 93 process time: 0.085107s
[14.216399] DEBUG: Frame 94 process time: 0.082844s
[14.328279] DEBUG: Frame 95 process time: 0.081457s
[14.441975] DEBUG: Frame 96 process time: 0.083006s
[14.554922] DEBUG: Frame 97 process time: 0.082377s
[14.668817] DEBUG: Frame 98 process time: 0.082850s
[14.782754] DEBUG: Frame 99 process time: 0.082934s
[14.813476] EVENT: Calculated point: 96.0633 6.25994       0
[14.813529] CLOSE: Closing Logger :)
