Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
3367925,0,0,0,0,0,0,0.0122173,-1.5708,-0.0174533,0.0122173,-1.5708,-0.0174533,308,325,-0.264664,-0.0578205,0
3639306,0,0,0,0,0,0,0.0122173,-1.5708,-0.0174533,0.0122173,-1.5708,-0.0174533,308,324,-0.260872,-0.0578404,0
5056726,0,0,0,0,0,0,0.0122173,-1.5708,-0.0191986,0.0122173,-1.5708,-0.0191986,308,322,-0.253387,-0.0573367,0
5985431,0,0,0,0,0,0,0.0122173,-1.5708,-0.0191986,0.0122173,-1.5708,-0.0191986,274,343,-0.333927,-0.18572,0
6300399,0,0,0,0,0,0,0.0122173,-1.5708,-0.0191986,0.0122173,-1.5708,-0.0191986,323,335,-0.302291,-0.000107426,0
6971362,0,0,0,0,0,0,0.0122173,-1.5708,-0.020944,0.0122173,-1.5708,-0.020944,331,333,-0.294441,0.0307935,0
7272179,0,0,0,0,0,0,0.0122173,-1.5708,-0.020944,0.0122173,-1.5708,-0.020944,331,333,-0.294441,0.0307935,0
7544108,0,0,0,0,0,0,0.0122173,-1.5708,-0.020944,0.0122173,-1.5708,-0.020944,330,333,-0.294474,0.0270012,0
7817754,0,0,0,0,0,0,0.0122173,-1.5708,-0.020944,0.0122173,-1.5708,-0.020944,329,332,-0.290715,0.0231758,0
8090030,0,0,0,0,0,0,0.0122173,-1.5708,-0.020944,0.0122173,-1.5708,-0.020944,329,332,-0.290715,0.0231758,0
8812479,0,0,0,0,0,0,0.010472,-1.5708,-0.0226893,0.010472,-1.5708,-0.0226893,329,332,-0.290632,0.0243929,0
9919541,0,0,0,0,0,0,0.010472,-1.5708,-0.0226893,0.010472,-1.5708,-0.0226893,329,332,-0.290632,0.0243929,0
10751173,0,0,0,0,0,0,0.010472,-1.5708,-0.0226893,0.010472,-1.5708,-0.0226893,329,332,-0.290632,0.0243929,0
14332308,0,0,0,0,0,0,0.00698132,-0.923279,-0.244346,0.00698132,-0.923279,-0.244346,329,427,0.597654,-0.119661,0
14615334,0,0,0,0,0,0,0.00698132,-0.895354,-0.225147,0.00698132,-0.895354,-0.225147,204,8,3.60769,-1.75057,2.22045e-16
15413831,0,0,0,0,0,0,-0,-0.804597,-0.0698132,0,-0.804597,-0.0698132,435,156,2.64493,0.533977,0
16382935,0,0,0,0,0,0,-0,-0.712094,-0.284489,0,-0.712094,-0.284489,444,205,2.68879,0.0366984,-2.22045e-16
16650829,0,0,0,0,0,0,-0,-0.68766,-0.284489,0,-0.68766,-0.284489,424,231,2.50992,-0.066745,0
16907051,0,0,0,0,0,0,-0,-0.680678,-0.289725,0,-0.680678,-0.289725,403,250,2.32537,-0.179417,0
17174491,0,0,0,0,0,0,-0,-0.677188,-0.296706,0,-0.677188,-0.296706,385,265,2.177,-0.27411,2.22045e-16
17431360,0,0,0,0,0,0,-0,-0.659734,-0.293215,0,-0.659734,-0.293215,390,274,2.18301,-0.239203,0
18049238,0,0,0,0,0,0,-0.00349066,-0.614356,-0.294961,-0.00349066,-0.614356,-0.294961,469,357,1.85885,0.209987,0
18320096,0,0,0,0,0,0,-0.00349066,-0.617847,-0.293215,-0.00349066,-0.617847,-0.293215,470,358,1.84158,0.219351,0
18590650,0,0,0,0,0,0,-0.00698132,-0.6353,-0.29147,-0.00698132,-0.6353,-0.29147,475,365,1.75065,0.255159,0
18862384,0,0,0,0,0,0,-0,-0.657989,-0.289725,0,-0.657989,-0.289725,471,365,1.66628,0.243564,0
19118355,0,0,0,0,0,0,-0,-0.651008,-0.289725,0,-0.651008,-0.289725,475,385,1.57788,0.264275,0
19761744,0,0,0,0,0,0,-0.00349066,-0.624828,-0.314159,-0.00349066,-0.624828,-0.314159,476,409,1.53454,0.231454,2.22045e-16
20294087,0,0,0,0,0,0,-0,-0.631809,-0.319395,0,-0.631809,-0.319395,473,389,1.61619,0.20406,-2.22045e-16
20563583,0,0,0,0,0,0,-0,-0.6353,-0.326377,0,-0.6353,-0.326377,473,381,1.65257,0.191087,2.22045e-16
20822773,0,0,0,0,0,0,-0,-0.631809,-0.34383,0,-0.631809,-0.34383,476,385,1.6479,0.176707,2.22045e-16
21083167,0,0,0,0,0,0,-0,-0.628319,-0.378736,0,-0.628319,-0.378736,481,402,1.57798,0.151672,-2.22045e-16
21613676,0,0,0,0,0,0,-0,-0.574213,-0.429351,0,-0.574213,-0.429351,486,398,1.77559,0.0529091,-2.22045e-16
21881807,0,0,0,0,0,0,-0,-0.58294,-0.392699,0,-0.58294,-0.392699,490,397,1.75829,0.137622,2.22045e-16
22151221,0,0,0,0,0,0,-0,-0.623083,-0.357792,0,-0.623083,-0.357792,493,397,1.63572,0.228885,2.22045e-16
22421785,0,0,0,0,0,0,-0.00698132,-0.575959,-0.254818,-0.00698132,-0.575959,-0.254818,508,404,1.73398,0.453698,0
22681176,0,0,0,0,0,0,-0.00698132,-0.584685,-0.223402,-0.00698132,-0.584685,-0.223402,523,404,1.7074,0.573392,0
