[0.006637] INIT: Logger started :)
[0.448177] EVENT: Camera Initialized Successfully
[2.360071] EVENT: Serial port /dev/ttyACM1 opened
[2.360553] EVENT: Starting Flight controller loop
[2.362041] EVENT: IMU serial port /dev/ttyACM0 opened
[2.362320] EVENT: IMU sensor data loop started
[2.363722] EVENT: Parameters parsed for blob detector
[2.936429] EVENT: Tracking loop started
[3.640188] DEBUG: Frame 0 process time: 0.703103s
[3.780415] DEBUG: Frame 1 process time: 0.083862s
[3.906682] DEBUG: Frame 2 process time: 0.081653s
[4.021115] DEBUG: Frame 3 process time: 0.082108s
[4.140213] DEBUG: Frame 4 process time: 0.082996s
[5.384387] DEBUG: Frame 5 process time: 0.082205s
[5.548699] DEBUG: Frame 6 process time: 0.124152s
[5.702030] DEBUG: Frame 7 process time: 0.122835s
[5.857501] DEBUG: Frame 8 process time: 0.125056s
[6.008080] DEBUG: Frame 9 process time: 0.120349s
[6.503075] DEBUG: Frame 10 process time: 0.109584s
[6.624627] DEBUG: Frame 11 process time: 0.090931s
[6.744089] DEBUG: Frame 12 process time: 0.088976s
[6.864654] DEBUG: Frame 13 process time: 0.089952s
[6.980614] DEBUG: Frame 14 process time: 0.085642s
[7.554260] DEBUG: Frame 15 process time: 0.087064s
[7.674842] DEBUG: Frame 16 process time: 0.082157s
[7.794267] DEBUG: Frame 17 process time: 0.084904s
[7.914550] DEBUG: Frame 18 process time: 0.083511s
[8.045092] DEBUG: Frame 19 process time: 0.086823s
[8.173879] DEBUG: Frame 20 process time: 0.087808s
[8.291065] DEBUG: Frame 21 process time: 0.083475s
[8.410061] DEBUG: Frame 22 process time: 0.085205s
[8.536909] DEBUG: Frame 23 process time: 0.084020s
[8.659775] DEBUG: Frame 24 process time: 0.087593s
[8.789903] DEBUG: Frame 25 process time: 0.087424s
[8.905687] DEBUG: Frame 26 process time: 0.081877s
[9.026434] DEBUG: Frame 27 process time: 0.084740s
[9.143356] DEBUG: Frame 28 process time: 0.083354s
[9.261111] DEBUG: Frame 29 process time: 0.083747s
[9.386043] DEBUG: Frame 30 process time: 0.093503s
[9.510391] DEBUG: Frame 31 process time: 0.093731s
[9.633287] DEBUG: Frame 32 process time: 0.092502s
[9.756489] DEBUG: Frame 33 process time: 0.092793s
[10.135220] DEBUG: Frame 34 process time: 0.083704s
[10.254601] DEBUG: Frame 35 process time: 0.088409s
[10.372707] DEBUG: Frame 36 process time: 0.087543s
[10.487045] DEBUG: Frame 37 process time: 0.084048s
[11.299343] DEBUG: Frame 38 process time: 0.781858s
[11.415425] DEBUG: Frame 39 process time: 0.085000s
[11.530206] DEBUG: Frame 40 process time: 0.084563s
[11.646948] DEBUG: Frame 41 process time: 0.086325s
[11.759088] DEBUG: Frame 42 process time: 0.081927s
[11.871591] DEBUG: Frame 43 process time: 0.082289s
[12.333094] DEBUG: Frame 44 process time: 0.078443s
[12.453561] DEBUG: Frame 45 process time: 0.089360s
[12.573669] DEBUG: Frame 46 process time: 0.089837s
[12.689608] DEBUG: Frame 47 process time: 0.085660s
[12.808553] DEBUG: Frame 48 process time: 0.088666s
[13.285200] DEBUG: Frame 49 process time: 0.078599s
[13.400453] DEBUG: Frame 50 process time: 0.084115s
[13.513625] DEBUG: Frame 51 process time: 0.082889s
[13.627024] DEBUG: Frame 52 process time: 0.083133s
[13.740065] DEBUG: Frame 53 process time: 0.082782s
[13.853403] DEBUG: Frame 54 process time: 0.083108s
[14.230522] DEBUG: Frame 55 process time: 0.077828s
[14.348097] DEBUG: Frame 56 process time: 0.087171s
[14.468721] DEBUG: Frame 57 process time: 0.090371s
[14.578946] DEBUG: Frame 58 process time: 0.080000s
[14.692119] DEBUG: Frame 59 process time: 0.082934s
[14.804532] DEBUG: Frame 60 process time: 0.082010s
[15.218884] DEBUG: Frame 61 process time: 0.078910s
[15.333519] DEBUG: Frame 62 process time: 0.084017s
[15.446538] DEBUG: Frame 63 process time: 0.082746s
[15.557198] DEBUG: Frame 64 process time: 0.080294s
[15.670797] DEBUG: Frame 65 process time: 0.083285s
[15.782875] DEBUG: Frame 66 process time: 0.081735s
[16.177683] DEBUG: Frame 67 process time: 0.078776s
[16.296274] DEBUG: Frame 68 process time: 0.087696s
[16.413736] DEBUG: Frame 69 process time: 0.087106s
[16.533427] DEBUG: Frame 70 process time: 0.089330s
[16.648098] DEBUG: Frame 71 process time: 0.084374s
[16.761737] DEBUG: Frame 72 process time: 0.083332s
[17.133511] DEBUG: Frame 73 process time: 0.079593s
[17.253194] DEBUG: Frame 74 process time: 0.087718s
[17.372449] DEBUG: Frame 75 process time: 0.088910s
[17.489716] DEBUG: Frame 76 process time: 0.086950s
[17.605328] DEBUG: Frame 77 process time: 0.085238s
[18.045903] DEBUG: Frame 78 process time: 0.080329s
[18.159373] DEBUG: Frame 79 process time: 0.083060s
[18.271546] DEBUG: Frame 80 process time: 0.081853s
[18.386430] DEBUG: Frame 81 process time: 0.084560s
[18.501105] DEBUG: Frame 82 process time: 0.084343s
[18.614535] DEBUG: Frame 83 process time: 0.083110s
[19.052581] DEBUG: Frame 84 process time: 0.080329s
[19.172951] DEBUG: Frame 85 process time: 0.089523s
[19.293743] DEBUG: Frame 86 process time: 0.090495s
[19.411741] DEBUG: Frame 87 process time: 0.087682s
[19.526445] DEBUG: Frame 88 process time: 0.084390s
[19.998141] DEBUG: Frame 89 process time: 0.081328s
[20.114722] DEBUG: Frame 90 process time: 0.085914s
[20.234660] DEBUG: Frame 91 process time: 0.089604s
[20.349339] DEBUG: Frame 92 process time: 0.084381s
[20.462121] DEBUG: Frame 93 process time: 0.082463s
[20.575232] DEBUG: Frame 94 process time: 0.082780s
[20.937967] DEBUG: Frame 95 process time: 0.080098s
[21.052733] DEBUG: Frame 96 process time: 0.083706s
[21.166867] DEBUG: Frame 97 process time: 0.083767s
[21.281059] DEBUG: Frame 98 process time: 0.083836s
[21.397020] DEBUG: Frame 99 process time: 0.085653s
[21.710809] EVENT: Calculated point:     1.14528    0.085421 1.13869e-17
[21.710862] CLOSE: Closing Logger :)
