[0.891287] INIT: Logger started :)
[1.174258] EVENT: Camera Initialized Successfully
[1.716033] EVENT: Serial port /dev/ttyACM1 opened
[1.716370] EVENT: Starting Flight controller loop
[1.718002] EVENT: IMU serial port /dev/ttyACM0 opened
[1.718213] EVENT: IMU sensor data loop started
[1.718432] EVENT: Parameters parsed for blob detector
[2.364954] EVENT: Tracking loop started
[2.916578] DEBUG: Frame 0 process time: 0.551497s
[3.041703] DEBUG: Frame 1 process time: 0.077525s
[3.179277] DEBUG: Frame 2 process time: 0.078947s
[3.308342] DEBUG: Frame 3 process time: 0.077565s
[3.428318] DEBUG: Frame 4 process time: 0.078952s
[4.635248] DEBUG: Frame 5 process time: 0.078329s
[4.758712] DEBUG: Frame 6 process time: 0.092399s
[4.869733] DEBUG: Frame 7 process time: 0.080783s
[4.979372] DEBUG: Frame 8 process time: 0.079421s
[5.090158] DEBUG: Frame 9 process time: 0.080567s
[5.549133] DEBUG: Frame 10 process time: 0.078993s
[5.662120] DEBUG: Frame 11 process time: 0.082293s
[5.773942] DEBUG: Frame 12 process time: 0.081593s
[5.884838] DEBUG: Frame 13 process time: 0.080679s
[5.997950] DEBUG: Frame 14 process time: 0.082864s
[6.462117] DEBUG: Frame 15 process time: 0.078783s
[7.522539] DEBUG: Frame 16 process time: 0.079415s
[8.431080] DEBUG: Frame 17 process time: 0.079173s
[8.542274] DEBUG: Frame 18 process time: 0.080945s
[8.654504] DEBUG: Frame 19 process time: 0.082001s
[8.765866] DEBUG: Frame 20 process time: 0.081084s
[8.876817] DEBUG: Frame 21 process time: 0.080624s
[9.286844] DEBUG: Frame 22 process time: 0.078495s
[9.399363] DEBUG: Frame 23 process time: 0.082246s
[9.511867] DEBUG: Frame 24 process time: 0.082298s
[9.621754] DEBUG: Frame 25 process time: 0.079667s
[9.731898] DEBUG: Frame 26 process time: 0.079938s
[10.177029] DEBUG: Frame 27 process time: 0.079409s
[10.291840] DEBUG: Frame 28 process time: 0.079636s
[10.405616] DEBUG: Frame 29 process time: 0.083485s
[10.516978] DEBUG: Frame 30 process time: 0.081159s
[10.627819] DEBUG: Frame 31 process time: 0.080621s
[11.044620] DEBUG: Frame 32 process time: 0.079044s
[11.158384] DEBUG: Frame 33 process time: 0.082880s
[11.268984] DEBUG: Frame 34 process time: 0.080376s
[11.378803] DEBUG: Frame 35 process time: 0.079609s
[11.489573] DEBUG: Frame 36 process time: 0.080562s
[11.601393] DEBUG: Frame 37 process time: 0.081598s
[11.944634] DEBUG: Frame 38 process time: 0.078275s
[12.057235] DEBUG: Frame 39 process time: 0.081955s
[12.167072] DEBUG: Frame 40 process time: 0.079619s
[12.277253] DEBUG: Frame 41 process time: 0.079973s
[12.388171] DEBUG: Frame 42 process time: 0.080694s
[12.498411] DEBUG: Frame 43 process time: 0.079932s
[12.946543] DEBUG: Frame 44 process time: 0.078312s
[13.058698] DEBUG: Frame 45 process time: 0.081744s
[13.169883] DEBUG: Frame 46 process time: 0.080862s
[13.281147] DEBUG: Frame 47 process time: 0.080943s
[13.392632] DEBUG: Frame 48 process time: 0.081167s
[13.507117] DEBUG: Frame 49 process time: 0.084158s
[13.858588] DEBUG: Frame 50 process time: 0.079195s
[13.970896] DEBUG: Frame 51 process time: 0.080964s
[14.084329] DEBUG: Frame 52 process time: 0.083043s
[14.196343] DEBUG: Frame 53 process time: 0.081646s
[14.308461] DEBUG: Frame 54 process time: 0.081770s
[14.418128] DEBUG: Frame 55 process time: 0.079355s
[14.764015] DEBUG: Frame 56 process time: 0.077881s
[14.876953] DEBUG: Frame 57 process time: 0.081733s
[14.989488] DEBUG: Frame 58 process time: 0.082228s
[15.100407] DEBUG: Frame 59 process time: 0.080610s
[15.211370] DEBUG: Frame 60 process time: 0.080691s
[15.325671] DEBUG: Frame 61 process time: 0.081382s
[15.699314] DEBUG: Frame 62 process time: 0.078906s
[15.810163] DEBUG: Frame 63 process time: 0.079962s
[15.922225] DEBUG: Frame 64 process time: 0.081850s
[16.033006] DEBUG: Frame 65 process time: 0.080559s
[16.143039] DEBUG: Frame 66 process time: 0.079768s
