[0.003679] INIT: Logger started :)
[0.004044] EVENT: Parameters parsed for blob detector
[0.004207] EVENT: Parameters parsed for math config
[0.004318] EVENT: Parameters parsed for color detection
[0.004401] EVENT: Parameters parsed for system config
[0.228356] EVENT: Camera Initialized Successfully
[0.760835] EVENT: Serial port /dev/ttyACM1 opened
[0.761186] EVENT: Starting Flight controller loop
[0.762195] EVENT: IMU serial port /dev/ttyACM0 opened
[0.762460] EVENT: IMU sensor data loop started
[1.856093] EVENT: Tracking loop started
[2.429667] DEBUG: Frame 0 process time: 0.573444s
[2.542725] DEBUG: Frame 1 process time: 0.074807s
[2.679901] DEBUG: Frame 2 process time: 0.075994s
[2.827598] DEBUG: Frame 3 process time: 0.075667s
[2.959863] DEBUG: Frame 4 process time: 0.076001s
[3.092206] DEBUG: Frame 5 process time: 0.076300s
[3.244452] DEBUG: Frame 6 process time: 0.076540s
[4.022124] DEBUG: Frame 7 process time: 0.076060s
[4.174540] DEBUG: Frame 8 process time: 0.082153s
[4.283858] DEBUG: Frame 9 process time: 0.079072s
[4.457353] DEBUG: Frame 10 process time: 0.077209s
[4.583803] DEBUG: Frame 11 process time: 0.095735s
[4.838999] DEBUG: Frame 12 process time: 0.114992s
[4.955275] DEBUG: Frame 13 process time: 0.085364s
[5.066620] DEBUG: Frame 14 process time: 0.080513s
[5.186022] DEBUG: Frame 15 process time: 0.077696s
[5.311290] DEBUG: Frame 16 process time: 0.094144s
[5.421780] DEBUG: Frame 17 process time: 0.080229s
[5.545574] DEBUG: Frame 18 process time: 0.077489s
[5.966983] DEBUG: Frame 19 process time: 0.077883s
[6.365997] DEBUG: Frame 20 process time: 0.076568s
[6.479259] DEBUG: Frame 21 process time: 0.082652s
[6.593578] DEBUG: Frame 22 process time: 0.084077s
[6.721298] DEBUG: Frame 23 process time: 0.077362s
[6.839405] DEBUG: Frame 24 process time: 0.087740s
[6.949976] DEBUG: Frame 25 process time: 0.080339s
[7.081204] DEBUG: Frame 26 process time: 0.077142s
[7.194965] DEBUG: Frame 27 process time: 0.082898s
[7.304461] DEBUG: Frame 28 process time: 0.079266s
[7.416438] DEBUG: Frame 29 process time: 0.081755s
[7.597685] DEBUG: Frame 30 process time: 0.077585s
[7.710180] DEBUG: Frame 31 process time: 0.081496s
[7.819555] DEBUG: Frame 32 process time: 0.079145s
[7.929601] DEBUG: Frame 33 process time: 0.079818s
[8.038010] DEBUG: Frame 34 process time: 0.077663s
[8.150382] DEBUG: Frame 35 process time: 0.081876s
[8.259322] DEBUG: Frame 36 process time: 0.078721s
[8.370655] DEBUG: Frame 37 process time: 0.081116s
[8.566824] DEBUG: Frame 38 process time: 0.076862s
[8.680094] DEBUG: Frame 39 process time: 0.082527s
[8.789417] DEBUG: Frame 40 process time: 0.079094s
[8.981183] DEBUG: Frame 41 process time: 0.077040s
[9.095390] DEBUG: Frame 42 process time: 0.083759s
[9.209375] DEBUG: Frame 43 process time: 0.083779s
[9.324608] DEBUG: Frame 44 process time: 0.084449s
[9.437307] DEBUG: Frame 45 process time: 0.082479s
[9.548304] DEBUG: Frame 46 process time: 0.080799s
[9.669888] DEBUG: Frame 47 process time: 0.083564s
[9.783029] DEBUG: Frame 48 process time: 0.082914s
[9.893300] DEBUG: Frame 49 process time: 0.080056s
[10.011219] DEBUG: Frame 50 process time: 0.086772s
[10.123851] DEBUG: Frame 51 process time: 0.082398s
[10.235195] DEBUG: Frame 52 process time: 0.077615s
[10.350312] DEBUG: Frame 53 process time: 0.083969s
[10.460023] DEBUG: Frame 54 process time: 0.079473s
[10.625087] DEBUG: Frame 55 process time: 0.077150s
[10.734385] DEBUG: Frame 56 process time: 0.078642s
[10.846563] DEBUG: Frame 57 process time: 0.081961s
[10.979900] DEBUG: Frame 58 process time: 0.077533s
[11.096808] DEBUG: Frame 59 process time: 0.086325s
[11.208251] DEBUG: Frame 60 process time: 0.081230s
[11.325155] DEBUG: Frame 61 process time: 0.085781s
[11.442671] DEBUG: Frame 62 process time: 0.086595s
[11.654054] DEBUG: Frame 63 process time: 0.076925s
[11.767891] DEBUG: Frame 64 process time: 0.083274s
[11.879167] DEBUG: Frame 65 process time: 0.081048s
[12.105218] DEBUG: Frame 66 process time: 0.077188s
[12.221398] DEBUG: Frame 67 process time: 0.085064s
[12.332319] DEBUG: Frame 68 process time: 0.080679s
[12.559218] DEBUG: Frame 69 process time: 0.077152s
[12.687566] DEBUG: Frame 70 process time: 0.097559s
[12.798366] DEBUG: Frame 71 process time: 0.080568s
[12.921435] DEBUG: Frame 72 process time: 0.077273s
[13.035448] DEBUG: Frame 73 process time: 0.082978s
[13.146174] DEBUG: Frame 74 process time: 0.080496s
[13.256188] DEBUG: Frame 75 process time: 0.079778s
[13.373702] DEBUG: Frame 76 process time: 0.082329s
[13.486309] DEBUG: Frame 77 process time: 0.082363s
[13.606657] DEBUG: Frame 78 process time: 0.084078s
[13.719558] DEBUG: Frame 79 process time: 0.078822s
[13.833857] DEBUG: Frame 80 process time: 0.083177s
[13.944506] DEBUG: Frame 81 process time: 0.080427s
[14.058356] DEBUG: Frame 82 process time: 0.082870s
[14.171481] DEBUG: Frame 83 process time: 0.082167s
[14.293436] DEBUG: Frame 84 process time: 0.077431s
[14.407028] DEBUG: Frame 85 process time: 0.082911s
[14.518546] DEBUG: Frame 86 process time: 0.081282s
[14.639160] DEBUG: Frame 87 process time: 0.083149s
[14.751887] DEBUG: Frame 88 process time: 0.082377s
[14.865566] DEBUG: Frame 89 process time: 0.076916s
[14.980010] DEBUG: Frame 90 process time: 0.083716s
[15.090333] DEBUG: Frame 91 process time: 0.080091s
[15.199242] DEBUG: Frame 92 process time: 0.078681s
[15.319751] DEBUG: Frame 93 process time: 0.084649s
[15.431241] DEBUG: Frame 94 process time: 0.081260s
[15.547922] DEBUG: Frame 95 process time: 0.085962s
[15.671603] DEBUG: Frame 96 process time: 0.087077s
[15.784224] DEBUG: Frame 97 process time: 0.082302s
[15.902193] DEBUG: Frame 98 process time: 0.085098s
[16.014353] DEBUG: Frame 99 process time: 0.081870s
[16.052710] EVENT: Calculated point:  3.02948 -1.04575        0
[16.052779] CLOSE: Closing Logger :)
