[0.001345] INIT: Logger started :)
[0.002053] EVENT: Parameters parsed for blob detector
[0.002236] EVENT: Parameters parsed for math config
[0.002352] EVENT: Parameters parsed for color detection
[0.002439] EVENT: Parameters parsed for system config
[0.235086] EVENT: Camera Initialized Successfully
[0.708975] EVENT: Serial port /dev/serial0 opened
[0.709452] EVENT: Starting Flight controller loop
[0.710713] EVENT: IMU serial port /dev/ttyACM0 opened
[0.711016] EVENT: IMU sensor data loop started
[0.908167] EVENT: Tracking loop started
[1.421347] DEBUG: Frame 0 process time: 0.512928s
[1.582058] DEBUG: Frame 1 process time: 0.117994s
[1.707279] DEBUG: Frame 2 process time: 0.093608s
[1.827963] DEBUG: Frame 3 process time: 0.078067s
[1.938562] DEBUG: Frame 4 process time: 0.079602s
[2.047019] DEBUG: Frame 5 process time: 0.077318s
[2.153040] DEBUG: Frame 6 process time: 0.075111s
[2.260115] DEBUG: Frame 7 process time: 0.076448s
[2.366554] DEBUG: Frame 8 process time: 0.075539s
[2.472849] DEBUG: Frame 9 process time: 0.075826s
[2.578995] DEBUG: Frame 10 process time: 0.074872s
[2.684757] DEBUG: Frame 11 process time: 0.074759s
[2.790625] DEBUG: Frame 12 process time: 0.075348s
[2.895877] DEBUG: Frame 13 process time: 0.074446s
[3.001398] DEBUG: Frame 14 process time: 0.074494s
[3.107948] DEBUG: Frame 15 process time: 0.075273s
[3.213720] DEBUG: Frame 16 process time: 0.074400s
[3.319049] DEBUG: Frame 17 process time: 0.074143s
[3.424984] DEBUG: Frame 18 process time: 0.075130s
[3.530073] DEBUG: Frame 19 process time: 0.074458s
[3.635471] DEBUG: Frame 20 process time: 0.074810s
[3.740774] DEBUG: Frame 21 process time: 0.074189s
[3.846927] DEBUG: Frame 22 process time: 0.074859s
[3.952531] DEBUG: Frame 23 process time: 0.074288s
[4.057801] DEBUG: Frame 24 process time: 0.073882s
[4.162754] DEBUG: Frame 25 process time: 0.074295s
[4.267845] DEBUG: Frame 26 process time: 0.074466s
[4.373378] DEBUG: Frame 27 process time: 0.074243s
[4.480401] DEBUG: Frame 28 process time: 0.076525s
[4.585347] DEBUG: Frame 29 process time: 0.073714s
[4.690898] DEBUG: Frame 30 process time: 0.074332s
[4.795886] DEBUG: Frame 31 process time: 0.074531s
[4.901122] DEBUG: Frame 32 process time: 0.074681s
[5.006796] DEBUG: Frame 33 process time: 0.074595s
[5.113029] DEBUG: Frame 34 process time: 0.075602s
[5.218265] DEBUG: Frame 35 process time: 0.073943s
[5.323232] DEBUG: Frame 36 process time: 0.074395s
[5.428144] DEBUG: Frame 37 process time: 0.074124s
[5.533502] DEBUG: Frame 38 process time: 0.074469s
[5.639114] DEBUG: Frame 39 process time: 0.074312s
[5.745419] DEBUG: Frame 40 process time: 0.074893s
[5.850566] DEBUG: Frame 41 process time: 0.074085s
[5.956163] DEBUG: Frame 42 process time: 0.074388s
[6.061911] DEBUG: Frame 43 process time: 0.074450s
[6.167101] DEBUG: Frame 44 process time: 0.074470s
[6.271664] DEBUG: Frame 45 process time: 0.074093s
[6.376816] DEBUG: Frame 46 process time: 0.074740s
[6.482350] DEBUG: Frame 47 process time: 0.074307s
[6.588347] DEBUG: Frame 48 process time: 0.074679s
[6.693264] DEBUG: Frame 49 process time: 0.073521s
[6.798573] DEBUG: Frame 50 process time: 0.074482s
[6.903856] DEBUG: Frame 51 process time: 0.074682s
[7.009401] DEBUG: Frame 52 process time: 0.074966s
[7.115623] DEBUG: Frame 53 process time: 0.074876s
[7.221231] DEBUG: Frame 54 process time: 0.074377s
[7.326383] DEBUG: Frame 55 process time: 0.073890s
[7.431716] DEBUG: Frame 56 process time: 0.074408s
[7.536610] DEBUG: Frame 57 process time: 0.074403s
[7.640679] DEBUG: Frame 58 process time: 0.073540s
[7.746522] DEBUG: Frame 59 process time: 0.074565s
[7.852400] DEBUG: Frame 60 process time: 0.074772s
[7.956948] DEBUG: Frame 61 process time: 0.074127s
[8.062731] DEBUG: Frame 62 process time: 0.074417s
[8.167979] DEBUG: Frame 63 process time: 0.074840s
[8.273001] DEBUG: Frame 64 process time: 0.074626s
[8.379456] DEBUG: Frame 65 process time: 0.075285s
[8.483961] DEBUG: Frame 66 process time: 0.073977s
[8.589660] DEBUG: Frame 67 process time: 0.074920s
[8.694539] DEBUG: Frame 68 process time: 0.074183s
[8.799874] DEBUG: Frame 69 process time: 0.074635s
[8.905566] DEBUG: Frame 70 process time: 0.074306s
[9.011277] DEBUG: Frame 71 process time: 0.074487s
