[0.000433] INIT: Logger started :)
[0.000844] EVENT: Parameters parsed for blob detector
[0.001053] EVENT: Parameters parsed for math config
[0.001189] EVENT: Parameters parsed for color detection
[0.001296] EVENT: Parameters parsed for system config
[0.231636] EVENT: Camera Initialized Successfully
[1.547408] EVENT: Serial port /dev/serial0 opened
[1.548133] EVENT: Starting Flight controller loop
[1.550506] EVENT: IMU serial port /dev/ttyACM0 opened
[1.551153] EVENT: IMU sensor data loop started
[1.763739] EVENT: Tracking loop started
[2.277740] DEBUG: Frame 0 process time: 0.513675s
[2.427357] DEBUG: Frame 1 process time: 0.115626s
[2.576848] DEBUG: Frame 2 process time: 0.083129s
[2.688711] DEBUG: Frame 3 process time: 0.080480s
[2.810893] DEBUG: Frame 4 process time: 0.080318s
[2.918252] DEBUG: Frame 5 process time: 0.076411s
[3.027327] DEBUG: Frame 6 process time: 0.077951s
[3.135397] DEBUG: Frame 7 process time: 0.076860s
[3.242157] DEBUG: Frame 8 process time: 0.075648s
[3.348658] DEBUG: Frame 9 process time: 0.075509s
[3.456187] DEBUG: Frame 10 process time: 0.076912s
[3.562937] DEBUG: Frame 11 process time: 0.075890s
[3.670237] DEBUG: Frame 12 process time: 0.076575s
[3.776471] DEBUG: Frame 13 process time: 0.075589s
[3.884816] DEBUG: Frame 14 process time: 0.077210s
[3.994491] DEBUG: Frame 15 process time: 0.079212s
[4.103505] DEBUG: Frame 16 process time: 0.077857s
[4.211802] DEBUG: Frame 17 process time: 0.077658s
[4.319467] DEBUG: Frame 18 process time: 0.076548s
[4.428879] DEBUG: Frame 19 process time: 0.078432s
[4.539978] DEBUG: Frame 20 process time: 0.080017s
[4.649161] DEBUG: Frame 21 process time: 0.077841s
[4.758824] DEBUG: Frame 22 process time: 0.078464s
[4.869313] DEBUG: Frame 23 process time: 0.079348s
[4.983047] DEBUG: Frame 24 process time: 0.082473s
[5.091646] DEBUG: Frame 25 process time: 0.077829s
[5.199900] DEBUG: Frame 26 process time: 0.077541s
[5.308713] DEBUG: Frame 27 process time: 0.077800s
[5.418957] DEBUG: Frame 28 process time: 0.079238s
[5.530084] DEBUG: Frame 29 process time: 0.080087s
[5.638701] DEBUG: Frame 30 process time: 0.078074s
[5.748118] DEBUG: Frame 31 process time: 0.078084s
[5.856780] DEBUG: Frame 32 process time: 0.077453s
[5.967245] DEBUG: Frame 33 process time: 0.079830s
[6.075484] DEBUG: Frame 34 process time: 0.077225s
[6.183643] DEBUG: Frame 35 process time: 0.076852s
[6.292276] DEBUG: Frame 36 process time: 0.078244s
[6.402168] DEBUG: Frame 37 process time: 0.078619s
[6.515758] DEBUG: Frame 38 process time: 0.082604s
[6.624699] DEBUG: Frame 39 process time: 0.077785s
[8.527093] DEBUG: Frame 40 process time: 0.076759s
[8.635648] DEBUG: Frame 41 process time: 0.078152s
[8.744143] DEBUG: Frame 42 process time: 0.077541s
[8.851988] DEBUG: Frame 43 process time: 0.076801s
[8.963186] DEBUG: Frame 44 process time: 0.079869s
[9.072827] DEBUG: Frame 45 process time: 0.078283s
[9.181025] DEBUG: Frame 46 process time: 0.077062s
[9.290092] DEBUG: Frame 47 process time: 0.077725s
[9.398898] DEBUG: Frame 48 process time: 0.077641s
[9.510266] DEBUG: Frame 49 process time: 0.080488s
[9.618773] DEBUG: Frame 50 process time: 0.077300s
[9.728079] DEBUG: Frame 51 process time: 0.078437s
[9.837442] DEBUG: Frame 52 process time: 0.078421s
[9.945775] DEBUG: Frame 53 process time: 0.077297s
[10.056599] DEBUG: Frame 54 process time: 0.079460s
[10.163331] DEBUG: Frame 55 process time: 0.075513s
[10.271003] DEBUG: Frame 56 process time: 0.076581s
[10.380211] DEBUG: Frame 57 process time: 0.077945s
[10.494611] DEBUG: Frame 58 process time: 0.083826s
[10.604615] DEBUG: Frame 59 process time: 0.078600s
[10.713049] DEBUG: Frame 60 process time: 0.077992s
[10.821334] DEBUG: Frame 61 process time: 0.077852s
[10.930184] DEBUG: Frame 62 process time: 0.077947s
[11.039521] DEBUG: Frame 63 process time: 0.078020s
[11.147655] DEBUG: Frame 64 process time: 0.076926s
[11.255686] DEBUG: Frame 65 process time: 0.077607s
[11.364467] DEBUG: Frame 66 process time: 0.077560s
[11.477072] DEBUG: Frame 67 process time: 0.081227s
[11.584795] DEBUG: Frame 68 process time: 0.076608s
[11.693404] DEBUG: Frame 69 process time: 0.077441s
[11.937432] DEBUG: Frame 70 process time: 0.074469s
[12.047109] DEBUG: Frame 71 process time: 0.078350s
[12.155579] DEBUG: Frame 72 process time: 0.077232s
[12.264671] DEBUG: Frame 73 process time: 0.077885s
[12.373424] DEBUG: Frame 74 process time: 0.077738s
[12.485819] DEBUG: Frame 75 process time: 0.081213s
[12.595520] DEBUG: Frame 76 process time: 0.078581s
[12.703834] DEBUG: Frame 77 process time: 0.077167s
[12.812526] DEBUG: Frame 78 process time: 0.077588s
[12.921095] DEBUG: Frame 79 process time: 0.077232s
[13.032917] DEBUG: Frame 80 process time: 0.080651s
[13.141394] DEBUG: Frame 81 process time: 0.077425s
[13.249287] DEBUG: Frame 82 process time: 0.077459s
[13.358009] DEBUG: Frame 83 process time: 0.077420s
[13.475560] DEBUG: Frame 84 process time: 0.086865s
[13.584382] DEBUG: Frame 85 process time: 0.077451s
