Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
13883182,0,0,0,0.00618591,0.0347276,1.01983,-0.0523599,0.31765,-5.33722,-0.0522663,0.317778,-5.33442,8,5,-7.93479,-2.10057,0
14145449,0,0,0,0.00617975,0.0346568,1.01978,-0.0575959,0.375246,-5.2325,-0.0574961,0.375445,-5.22965,118,32,-5.99904,-3.60932,0
14424487,0,0,0,0.00619752,0.034678,1.01976,-0.0610865,0.462512,-5.1749,-0.0610046,0.46269,-5.17203,174,33,-4.34,-3.53467,0
14703839,0,0,0,0.00614189,0.0347248,1.01904,-0.0698132,0.462512,-5.17316,-0.0696756,0.462644,-5.16956,189,178,-6.6421,-6.78442,0
15338063,0,0,0,0.00619013,0.0347292,1.01959,-0.0855211,0.460767,-5.18886,-0.0854318,0.460894,-5.18583,157,391,-30.267,-31.8066,0
15638442,0,0,0,0.00619707,0.0346947,1.0191,-0.0942478,0.464258,-5.1941,-0.0941654,0.464419,-5.19057,134,434,-74.074,-74.0398,0
18102476,0,0,0,0.00625283,0.0346455,1.02132,-0.143117,-0.179769,-5.21504,-0.14309,-0.179558,-5.21373,191,332,9.6522,10.4406,0
18414800,0,0,0,0.00625046,0.0346871,1.02165,-0.143117,-0.403171,-5.17316,-0.143088,-0.403002,-5.17218,201,226,9.17681,10.4207,0
18725312,0,0,0,0.00627127,0.0347196,1.02158,-0.143117,-1.02974,-5.2674,-0.143109,-1.02961,-5.26635,215,147,4.1129,3.20833,0
19039156,0,0,0,0.00622011,0.0346764,1.02101,-0.132645,-1.09432,-5.53968,-0.132586,-1.09414,-5.53805,212,178,3.8865,1.36985,0
19660263,0,0,0,0.00625557,0.0346983,1.02075,-0.125664,-1.08909,-5.51873,-0.12564,-1.08893,-5.51685,202,71,5.74061,2.4382,0
