[0.000438] INIT: Logger started :)
[0.000783] EVENT: Parameters parsed for blob detector
[0.000952] EVENT: Parameters parsed for math config
[0.001064] EVENT: Parameters parsed for color detection
[0.001148] EVENT: Parameters parsed for system config
[0.212962] EVENT: Camera Initialized Successfully
[0.787119] EVENT: Serial port /dev/serial0 opened
[0.787495] EVENT: Starting Flight controller loop
[0.788572] EVENT: IMU serial port /dev/ttyACM0 opened
[0.788860] EVENT: IMU sensor data loop started
[4.647764] EVENT: Tracking loop started
[5.227984] DEBUG: Frame 0 process time: 0.579886s
[5.365201] DEBUG: Frame 1 process time: 0.076570s
[5.484406] DEBUG: Frame 2 process time: 0.076965s
[5.699900] DEBUG: Frame 3 process time: 0.076701s
[5.946136] DEBUG: Frame 4 process time: 0.078078s
[6.132516] DEBUG: Frame 5 process time: 0.076553s
[6.397319] DEBUG: Frame 6 process time: 0.077480s
[6.549243] DEBUG: Frame 7 process time: 0.076905s
[7.456850] DEBUG: Frame 8 process time: 0.076888s
[7.678081] DEBUG: Frame 9 process time: 0.142731s
[7.815138] DEBUG: Frame 10 process time: 0.106666s
[8.142058] DEBUG: Frame 11 process time: 0.078191s
[8.279636] DEBUG: Frame 12 process time: 0.107315s
[8.410406] DEBUG: Frame 13 process time: 0.098783s
[8.526983] DEBUG: Frame 14 process time: 0.086215s
[8.798389] DEBUG: Frame 15 process time: 0.078411s
[8.919932] DEBUG: Frame 16 process time: 0.090227s
[9.031833] DEBUG: Frame 17 process time: 0.081672s
[9.148956] DEBUG: Frame 18 process time: 0.086925s
[9.468673] DEBUG: Frame 19 process time: 0.077318s
[9.585747] DEBUG: Frame 20 process time: 0.085982s
[9.701090] DEBUG: Frame 21 process time: 0.085100s
[9.817325] DEBUG: Frame 22 process time: 0.086000s
[10.146951] DEBUG: Frame 23 process time: 0.078419s
[10.268095] DEBUG: Frame 24 process time: 0.090168s
[10.386723] DEBUG: Frame 25 process time: 0.088415s
[10.502108] DEBUG: Frame 26 process time: 0.085156s
[10.817943] DEBUG: Frame 27 process time: 0.077792s
[10.935766] DEBUG: Frame 28 process time: 0.086640s
[11.051231] DEBUG: Frame 29 process time: 0.085229s
[11.165673] DEBUG: Frame 30 process time: 0.084220s
[11.484848] DEBUG: Frame 31 process time: 0.077625s
[11.598066] DEBUG: Frame 32 process time: 0.082928s
[11.712802] DEBUG: Frame 33 process time: 0.084516s
[11.828194] DEBUG: Frame 34 process time: 0.085192s
[11.945123] DEBUG: Frame 35 process time: 0.086664s
[12.206167] DEBUG: Frame 36 process time: 0.077998s
[12.359094] DEBUG: Frame 37 process time: 0.079180s
[12.474725] DEBUG: Frame 38 process time: 0.084797s
[12.587680] DEBUG: Frame 39 process time: 0.082693s
[12.702088] DEBUG: Frame 40 process time: 0.084185s
[13.087746] DEBUG: Frame 41 process time: 0.078308s
[13.203180] DEBUG: Frame 42 process time: 0.084930s
[13.317698] DEBUG: Frame 43 process time: 0.084286s
[13.435980] DEBUG: Frame 44 process time: 0.088045s
[13.725524] DEBUG: Frame 45 process time: 0.077102s
[13.843417] DEBUG: Frame 46 process time: 0.087514s
[13.961089] DEBUG: Frame 47 process time: 0.087462s
[14.075556] DEBUG: Frame 48 process time: 0.084229s
[14.337038] DEBUG: Frame 49 process time: 0.080473s
[14.458841] DEBUG: Frame 50 process time: 0.091225s
[14.575749] DEBUG: Frame 51 process time: 0.086662s
[14.690395] DEBUG: Frame 52 process time: 0.084382s
[14.962442] DEBUG: Frame 53 process time: 0.078082s
[15.079705] DEBUG: Frame 54 process time: 0.086238s
[15.194566] DEBUG: Frame 55 process time: 0.084558s
[15.314183] DEBUG: Frame 56 process time: 0.089352s
[15.746891] DEBUG: Frame 57 process time: 0.076923s
[15.867790] DEBUG: Frame 58 process time: 0.089894s
[15.983214] DEBUG: Frame 59 process time: 0.085211s
[16.098717] DEBUG: Frame 60 process time: 0.085286s
[16.471120] DEBUG: Frame 61 process time: 0.078561s
[16.587660] DEBUG: Frame 62 process time: 0.086086s
[16.701395] DEBUG: Frame 63 process time: 0.083511s
[16.816717] DEBUG: Frame 64 process time: 0.085072s
[17.134338] DEBUG: Frame 65 process time: 0.077663s
[17.250132] DEBUG: Frame 66 process time: 0.084892s
[17.369578] DEBUG: Frame 67 process time: 0.089240s
[17.485812] DEBUG: Frame 68 process time: 0.086010s
[17.773894] DEBUG: Frame 69 process time: 0.077178s
[17.900576] DEBUG: Frame 70 process time: 0.095895s
[18.015925] DEBUG: Frame 71 process time: 0.085136s
[18.134446] DEBUG: Frame 72 process time: 0.088260s
[18.459355] DEBUG: Frame 73 process time: 0.077532s
[18.574597] DEBUG: Frame 74 process time: 0.084825s
[18.687884] DEBUG: Frame 75 process time: 0.083068s
[18.803718] DEBUG: Frame 76 process time: 0.085615s
[19.156369] DEBUG: Frame 77 process time: 0.078619s
[19.268806] DEBUG: Frame 78 process time: 0.081899s
[19.384849] DEBUG: Frame 79 process time: 0.085806s
[19.499239] DEBUG: Frame 80 process time: 0.084166s
[19.837579] DEBUG: Frame 81 process time: 0.079300s
[19.957509] DEBUG: Frame 82 process time: 0.088826s
[20.072923] DEBUG: Frame 83 process time: 0.085202s
[20.187902] DEBUG: Frame 84 process time: 0.084725s
[20.493095] DEBUG: Frame 85 process time: 0.082996s
[20.608325] DEBUG: Frame 86 process time: 0.084054s
[20.724612] DEBUG: Frame 87 process time: 0.086047s
[20.838547] DEBUG: Frame 88 process time: 0.083640s
[21.146579] DEBUG: Frame 89 process time: 0.077672s
[21.260130] DEBUG: Frame 90 process time: 0.082702s
[21.381222] DEBUG: Frame 91 process time: 0.090824s
[21.496198] DEBUG: Frame 92 process time: 0.084652s
[21.815031] DEBUG: Frame 93 process time: 0.077951s
[21.960731] DEBUG: Frame 94 process time: 0.081069s
[22.083288] DEBUG: Frame 95 process time: 0.091887s
[22.199553] DEBUG: Frame 96 process time: 0.086022s
[22.321726] DEBUG: Frame 97 process time: 0.091962s
[22.615042] DEBUG: Frame 98 process time: 0.078811s
[22.732226] DEBUG: Frame 99 process time: 0.085892s
[22.762628] EVENT: Calculated point:   2.17471 -0.826752         0
[22.762674] CLOSE: Closing Logger :)
