Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
3560658,0,0,0,0,0,0,0.020944,-1.07163,0.0296706,0.020944,-1.07163,0.0296706,329,160,4.5584,0.321153,0
3953368,0,0,0,0.0271572,0.0173363,0.367081,0.0244346,-1.07861,0.0436332,0.0244346,-1.07861,0.0436332,329,159,4.50618,0.385649,0
5236121,0,0,0,0.0273581,0.0175263,0.369128,0.0296706,-1.05592,0.0436332,0.0294697,-1.05611,0.0415868,329,158,4.73647,0.404278,0
5566625,0,0,0,0.0273581,0.0175263,0.369128,0.0296706,-1.05418,0.0471239,0.0294697,-1.05437,0.0450775,328,158,4.75304,0.40668,0
5864805,0,0,0,0.0275432,0.0175959,0.372067,0.0296706,-1.04894,0.0471239,0.0292846,-1.0492,0.0421386,328,157,4.82277,0.41016,0
6290138,0,0,0,0.0273758,0.0177277,0.368869,0.0296706,-1.04894,0.0541052,0.029452,-1.04933,0.0523171,329,157,4.81837,0.459343,0
6603616,0,0,0,0.027426,0.0177795,0.369927,0.0296706,-1.05767,0.0558505,0.0294018,-1.05811,0.0530047,329,156,4.75232,0.463125,0
6868194,0,0,0,0.0273621,0.0178068,0.369394,0.0296706,-1.05767,0.0541052,0.0294657,-1.05814,0.051793,331,171,4.47107,0.459782,0
8586593,0,0,0,0.0272196,0.0176243,0.374854,0.0331613,-1.028,0.0453786,0.0330989,-1.02829,0.037606,331,174,4.69509,0.438489,0
8870810,0,0,0,0.0275454,0.0177394,0.37662,0.0296706,-1.028,0.0488692,0.0292824,-1.0284,0.0393304,330,172,4.73412,0.437468,0
9136687,0,0,0,0.0276151,0.0177599,0.376314,0.0296706,-1.02276,0.0506145,0.0292127,-1.02319,0.0413817,327,171,4.80702,0.404901,0
9413453,0,0,0,0.0278314,0.0177602,0.376922,0.0296706,-1.01055,0.0541052,0.0289964,-1.01097,0.0442642,328,167,5.00312,0.450076,0
9655228,0,0,0,0.0277852,0.0177629,0.377106,0.0296706,-0.987856,0.0575959,0.0290426,-0.988283,0.0475716,328,165,5.27508,0.487945,0
11111026,0,0,0,0.0275169,0.0179184,0.37957,0.0244346,-0.902335,0.0645772,0.0240749,-0.902917,0.0520881,332,183,5.81214,0.622509,8.88178e-16
11376205,0,0,0,0.0274699,0.0179024,0.379755,0.0191986,-0.851721,0.0698132,0.0188859,-0.852287,0.0571399,331,184,6.40188,0.683122,0
11655942,0,0,0,0.0274699,0.0179024,0.379755,0.015708,-0.818559,0.0698132,0.0153953,-0.819125,0.0571399,331,187,6.76039,0.710587,0
11906310,0,0,0,0.0274699,0.0179024,0.379755,0.020944,-0.830777,0.0802851,0.0206312,-0.831343,0.0676118,330,198,6.30384,0.720351,8.88178e-16
12288304,0,0,0,0.0273036,0.0182235,0.37367,0.0244346,-0.841249,0.0785398,0.0242882,-0.842136,0.0719507,329,209,5.90908,0.653858,0
13068471,0,0,0,0.0272326,0.0182387,0.372688,0.0244346,-0.879646,0.0750492,0.0243592,-0.880548,0.0694425,324,309,3.61561,0.328891,0
13485233,0,0,0,0.0273233,0.0182876,0.371158,0.0279253,-0.923279,0.0733038,0.0277591,-0.92423,0.0692272,324,310,3.26197,0.291669,0
14476769,0,0,0,0.0274353,0.0181827,0.373972,0.0279253,-0.986111,0.0750492,0.0276472,-0.986957,0.0681589,324,296,3.0026,0.282173,0
14738739,0,0,0,0.0273748,0.0182097,0.374245,0.0279253,-0.991347,0.0750492,0.0277076,-0.99222,0.0678859,325,285,3.12509,0.309465,0
14987445,0,0,0,0.0273389,0.0181583,0.374421,0.0279253,-0.996583,0.0750492,0.0277435,-0.997405,0.0677094,325,279,3.1761,0.315986,0
15739115,0,0,0,0.0273083,0.0183905,0.370059,0.0279253,-1.06116,0.0837758,0.0277741,-1.06221,0.0807985,327,246,3.18675,0.383566,0
15996694,0,0,0,0.0273083,0.0183905,0.370059,0.0279253,-1.08036,0.0837758,0.0277741,-1.08141,0.0807985,325,208,3.63733,0.411246,0
16257955,0,0,0,0.0273083,0.0183905,0.370059,0.0279253,-1.08559,0.0820305,0.0277741,-1.08665,0.0790532,325,205,3.64466,0.406725,0
16515713,0,0,0,0.0273083,0.0183905,0.370059,0.0279253,-1.09781,0.0820305,0.0277741,-1.09887,0.0790532,323,193,3.74459,0.392093,0
16983937,0,0,0,0.0272854,0.018495,0.370875,0.0279253,-1.12399,0.0855211,0.0277971,-1.12515,0.0817277,321,166,3.97698,0.408151,0
17252492,0,0,0,0.0272854,0.018495,0.370875,0.0279253,-1.14668,0.0872665,0.0277971,-1.14784,0.0834731,321,159,3.90218,0.410878,0
17512237,0,0,0,0.0272854,0.018495,0.370875,0.0279253,-1.15715,0.0872665,0.0277971,-1.15831,0.0834731,322,153,3.91188,0.428048,0
17768796,0,0,0,0.0272854,0.018495,0.370875,0.0279253,-1.16413,0.0872665,0.0277971,-1.16529,0.0834731,321,147,3.95384,0.420084,0
18373071,0,0,0,0.027181,0.0187035,0.362096,0.0296706,-1.20602,0.0907571,0.0296468,-1.20739,0.0957426,321,139,3.73482,0.418369,0
18639245,0,0,0,0.0271879,0.018712,0.361858,0.0296706,-1.21649,0.0925025,0.0296399,-1.21787,0.0977255,320,120,3.95264,0.439405,0
18893710,0,0,0,0.0271879,0.018712,0.361858,0.0296706,-1.22522,0.0942478,0.0296399,-1.2266,0.0994708,319,113,3.99274,0.439028,0
19147718,0,0,0,0.0270161,0.0187209,0.361093,0.0296706,-1.22871,0.0959931,0.0298117,-1.2301,0.101982,319,109,4.02681,0.452153,0
19403032,0,0,0,0.0270093,0.0187445,0.360563,0.0296706,-1.23569,0.0977384,0.0298185,-1.2371,0.104257,319,103,4.06314,0.46519,0
19998139,0,0,0,0.027034,0.0187165,0.362112,0.0279253,-1.18333,0.0977384,0.0280485,-1.18471,0.102707,317,80,4.94283,0.530498,0
20259349,0,0,0,0.027034,0.0187165,0.362112,0.0279253,-1.1589,0.0942478,0.0280485,-1.16028,0.0992168,317,75,5.28782,0.548636,0
20514593,0,0,0,0.0270296,0.0187247,0.360877,0.0279253,-1.14668,0.0942478,0.0280529,-1.14807,0.100452,316,71,5.49877,0.555233,0
20775220,0,0,0,0.0270542,0.0187589,0.360253,0.0279253,-1.13446,0.0925025,0.0280283,-1.13589,0.0993312,316,68,5.69573,0.565158,0
21033510,0,0,0,0.0270542,0.0187589,0.360253,0.0279253,-1.11003,0.0907571,0.0280283,-1.11145,0.0975859,315,63,6.08954,0.577619,8.88178e-16
21501203,0,0,0,0.0269099,0.0186519,0.359692,0.0279253,-1.08909,0.0994838,0.0281725,-1.0904,0.106873,317,106,5.41507,0.576933,0
21762275,0,0,0,0.026914,0.0186234,0.360215,0.0279253,-1.07861,0.0977384,0.0281684,-1.0799,0.104604,319,117,5.30079,0.582553,0
22027226,0,0,0,0.026914,0.0186234,0.360215,0.0279253,-1.05592,0.101229,0.0281684,-1.05721,0.108095,318,121,5.46163,0.600388,0
22278299,0,0,0,0.026914,0.0186234,0.360215,0.0279253,-1.04196,0.102974,0.0281684,-1.04325,0.10984,319,132,5.38045,0.61237,0
22779651,0,0,0,0.0269845,0.018718,0.35729,0.0279253,-0.994838,0.101229,0.0280979,-0.996219,0.111021,318,142,5.68755,0.613557,0
23056594,0,0,0,0.0269845,0.018718,0.35729,0.0279253,-0.986111,0.0959931,0.0280979,-0.987493,0.105785,318,156,5.48287,0.557643,0
23312542,0,0,0,0.0269845,0.018718,0.35729,0.0244346,-0.977384,0.0959931,0.0246073,-0.978766,0.105785,318,165,5.38543,0.540013,0
23572087,0,0,0,0.0269845,0.018718,0.35729,0.0244346,-0.958186,0.0959931,0.0246073,-0.959567,0.105785,316,171,5.46782,0.513355,0
24036328,0,0,0,0.027089,0.0185363,0.360799,0.0244346,-0.93026,0.0977384,0.0245028,-0.93146,0.104021,317,185,5.46407,0.532617,0
24301368,0,0,0,0.0271433,0.0184483,0.364405,0.020944,-0.923279,0.0994838,0.0209579,-0.924391,0.10216,320,209,5.0253,0.535169,0
24558906,0,0,0,0.0271433,0.0184483,0.364405,0.020944,-0.916298,0.101229,0.0209579,-0.91741,0.103905,319,216,4.95446,0.518837,0
24825932,0,0,0,0.0271433,0.0184483,0.364405,0.020944,-0.90059,0.101229,0.0209579,-0.901702,0.103905,319,223,4.96948,0.518063,0
25300316,0,0,0,0.0271018,0.0185027,0.363522,0.020944,-0.883137,0.0994838,0.0209994,-0.884303,0.103043,320,230,5.00078,0.525993,0
25595017,0,0,0,0.027072,0.0184921,0.364208,0.020944,-0.870919,0.0959931,0.0210292,-0.872075,0.0988668,319,249,4.7461,0.462841,0
26603559,0,0,0,0.0268964,0.0185414,0.361833,0.0191986,-0.846485,0.102974,0.0194594,-0.84769,0.108222,320,277,4.43936,0.472442,0
27114763,0,0,0,0.0268964,0.0185414,0.361833,0.015708,-0.837758,0.0994838,0.0159688,-0.838963,0.104732,320,293,4.23057,0.434553,0
27370513,0,0,0,0.0268964,0.0185414,0.361833,0.015708,-0.827286,0.0959931,0.0159688,-0.828491,0.101241,319,297,4.25525,0.406741,0
27626050,0,0,0,0.0268964,0.0185414,0.361833,0.015708,-0.823795,0.0959931,0.0159688,-0.825001,0.101241,318,298,4.27005,0.393328,0
27881142,0,0,0,0.0268964,0.0185414,0.361833,0.015708,-0.818559,0.0994838,0.0159688,-0.819765,0.104732,319,301,4.26011,0.421069,0
