Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
2851158,0,0,0,0.02719,0.0172012,0.327507,-0.00349066,-0.802851,-0.137881,-0.00390846,-0.802825,-0.142335,309,339,3.72251,-0.627352,0
3255379,0,0,0,0.0272102,0.0171878,0.32805,-0.00698132,-0.801106,-0.176278,-0.00741934,-0.801066,-0.181275,310,339,3.71281,-0.751942,0
3515680,0,0,0,0.0272435,0.0171701,0.328792,-0.00698132,-0.79587,-0.169297,-0.00745262,-0.795812,-0.175036,309,341,3.72632,-0.741727,0
3835368,0,0,0,0.0275914,0.0171918,0.330498,-0.00698132,-0.780162,-0.153589,-0.00780051,-0.780126,-0.161034,310,342,3.85236,-0.690284,0
4127168,0,0,0,0.0277392,0.0171947,0.331491,-0.00698132,-0.774926,-0.155334,-0.00794839,-0.774893,-0.163772,309,344,3.86009,-0.712709,0
4412903,0,0,0,0.0284832,0.0172414,0.333933,-0.010472,-0.771436,-0.153589,-0.012183,-0.771449,-0.164469,309,344,3.89104,-0.708868,0
4730617,0,0,0,0.028289,0.0172379,0.334762,-0.00698132,-0.781908,-0.15708,-0.00849812,-0.781917,-0.168788,308,348,3.73641,-0.713866,0
6178772,0,0,0,0.0276177,0.0170451,0.339249,-0.010472,-0.759218,-0.13439,-0.0113175,-0.759035,-0.150587,305,355,3.82021,-0.672376,0
6480142,0,0,0,0.0276177,0.0170451,0.339249,-0.00698132,-0.787143,-0.141372,-0.00782682,-0.786961,-0.157568,302,363,3.46374,-0.687769,0
6759895,0,0,0,0.0276844,0.0169955,0.342035,-0.00698132,-0.785398,-0.139626,-0.00789359,-0.785166,-0.158608,303,364,3.46567,-0.668376,0
7034454,0,0,0,0.027687,0.0168612,0.345295,-0.00698132,-0.790634,-0.136136,-0.00789618,-0.790267,-0.158378,305,363,3.44599,-0.626315,0
7310413,0,0,0,0.0276792,0.0168452,0.346186,-0.00698132,-0.813323,-0.132645,-0.00788837,-0.812941,-0.155778,305,357,3.3619,-0.602838,0
9138611,0,0,0,0.0276192,0.0170492,0.344463,-0.00698132,-0.818559,-0.127409,-0.00782839,-0.818381,-0.148819,299,334,3.66288,-0.71526,0
9398544,0,0,0,0.0276192,0.0170492,0.344463,-0.00349066,-0.820305,-0.129154,-0.00433773,-0.820126,-0.150564,298,337,3.59939,-0.729926,0
9660295,0,0,0,0.0275552,0.0171833,0.343495,-0.00349066,-0.823795,-0.127409,-0.00427371,-0.823751,-0.147851,292,336,3.57766,-0.802798,0
9916983,0,0,0,0.0275552,0.0171833,0.343495,-0.00349066,-0.825541,-0.127409,-0.00427371,-0.825496,-0.147851,293,343,3.45847,-0.768955,0
10350074,0,0,0,0.0275552,0.0171833,0.343495,-0.00349066,-0.82205,-0.122173,-0.00427371,-0.822005,-0.142615,293,342,3.50491,-0.757754,0
10616041,0,0,0,0.0275552,0.0171833,0.343495,-0.00349066,-0.820305,-0.122173,-0.00427371,-0.82026,-0.142615,299,332,3.68448,-0.703541,0
10870845,0,0,0,0.0274576,0.0173458,0.339835,-0.00349066,-0.818559,-0.122173,-0.00417605,-0.818677,-0.138955,298,329,3.74451,-0.726396,0
11134797,0,0,0,0.0274576,0.0173458,0.339835,-0.00349066,-0.816814,-0.122173,-0.00417605,-0.816932,-0.138955,297,328,3.77304,-0.744766,0
11607112,0,0,0,0.0274576,0.0173458,0.339835,-0,-0.816814,-0.120428,-0.000685394,-0.816932,-0.137209,297,328,3.77497,-0.742696,0
11872548,0,0,0,0.0275507,0.0173741,0.341635,-0,-0.818559,-0.120428,-0.000778504,-0.818706,-0.13901,296,332,3.69527,-0.744716,0
12131279,0,0,0,0.0275507,0.0173741,0.341635,-0,-0.816814,-0.120428,-0.000778504,-0.81696,-0.13901,296,331,3.72529,-0.749274,0
12393617,0,0,0,0.0274564,0.0174267,0.341161,-0,-0.816814,-0.120428,-0.000684215,-0.817013,-0.138536,296,332,3.70933,-0.746355,0
12899192,0,0,0,0.0274564,0.0174267,0.341161,-0,-0.813323,-0.116937,-0.000684215,-0.813522,-0.135045,296,335,3.69255,-0.730431,0
13167302,0,0,0,0.0274564,0.0174267,0.341161,-0,-0.802851,-0.118682,-0.000684215,-0.80305,-0.13679,296,335,3.77634,-0.74916,0
13423681,0,0,0,0.0273041,0.01758,0.338931,-0,-0.79587,-0.116937,-0.00053197,-0.796222,-0.132815,297,333,3.86901,-0.741393,0
13672626,0,0,0,0.0272736,0.0176479,0.33717,-0,-0.790634,-0.116937,-0.000501445,-0.791054,-0.131053,296,333,3.91095,-0.761474,0
14132093,0,0,0,0.0272999,0.0176475,0.337271,-0,-0.792379,-0.116937,-0.000527738,-0.792799,-0.131155,296,335,3.86379,-0.754492,0
14397610,0,0,0,0.0272999,0.0176475,0.337271,-0,-0.792379,-0.116937,-0.000527738,-0.792799,-0.131155,297,339,3.80085,-0.730876,0
14656612,0,0,0,0.0272999,0.0176475,0.337271,-0,-0.792379,-0.116937,-0.000527738,-0.792799,-0.131155,297,346,3.68992,-0.714079,0
14910867,0,0,0,0.0272999,0.0176475,0.337271,-0,-0.794125,-0.115192,-0.000527738,-0.794544,-0.129409,292,347,3.65363,-0.771188,0
15169192,0,0,0,0.0271433,0.0176451,0.336389,-0,-0.794125,-0.115192,-0.0003711,-0.794542,-0.128528,297,345,3.69269,-0.707487,0
15932528,0,0,0,0.0271433,0.0176451,0.336389,-0,-0.792379,-0.111701,-0.0003711,-0.792797,-0.125037,294,349,3.64218,-0.728203,0
16193639,0,0,0,0.0271433,0.0176451,0.336389,-0,-0.792379,-0.111701,-0.0003711,-0.792797,-0.125037,297,349,3.64674,-0.687624,0
16439074,0,0,0,0.0271433,0.0176451,0.336389,-0,-0.794125,-0.111701,-0.0003711,-0.794542,-0.125037,297,348,3.64829,-0.687976,0
16709921,0,0,0,0.0271433,0.0176451,0.336389,-0,-0.794125,-0.111701,-0.0003711,-0.794542,-0.125037,297,348,3.64829,-0.687976,0
17118061,0,0,0,0.0271433,0.0176451,0.336389,0.00349066,-0.79587,-0.111701,0.00311956,-0.796287,-0.125037,296,349,3.61793,-0.702612,0
17384077,0,0,0,0.0271433,0.0176451,0.336389,0.00349066,-0.79587,-0.111701,0.00311956,-0.796287,-0.125037,295,350,3.60103,-0.713862,0
17641291,0,0,0,0.0271433,0.0176451,0.336389,0.00349066,-0.79587,-0.109956,0.00311956,-0.796287,-0.123292,295,349,3.61771,-0.709914,0
17892143,0,0,0,0.0272471,0.0175242,0.342929,0.00349066,-0.79587,-0.109956,0.00301576,-0.796166,-0.129832,296,348,3.63469,-0.69875,0
18345892,0,0,0,0.0272678,0.0175063,0.345354,0.00349066,-0.79587,-0.109956,0.00299507,-0.796148,-0.132257,295,348,3.63327,-0.712235,0
18600556,0,0,0,0.0273497,0.0175504,0.344866,0.00349066,-0.79587,-0.109956,0.00291311,-0.796193,-0.131768,295,348,3.63329,-0.712584,0
18868470,0,0,0,0.0273721,0.0175212,0.345563,0.00349066,-0.79587,-0.109956,0.00289075,-0.796163,-0.132466,295,347,3.64885,-0.714906,0
19120500,0,0,0,0.0273606,0.0174495,0.347254,0.00349066,-0.79587,-0.109956,0.00290224,-0.796092,-0.134157,296,347,3.6503,-0.701255,0
19368566,0,0,0,0.0274308,0.0174236,0.348068,0.00349066,-0.79587,-0.109956,0.00283201,-0.796066,-0.13497,295,347,3.64889,-0.715082,0
19622811,0,0,0,0.0274308,0.0174236,0.348068,0.00698132,-0.79587,-0.109956,0.00632267,-0.796066,-0.13497,295,347,3.64959,-0.720324,0
20602052,0,0,0,0.0273443,0.0175343,0.348808,0.00698132,-0.797615,-0.109956,0.00640917,-0.797922,-0.135711,295,347,3.63557,-0.717888,0
20858024,0,0,0,0.0273533,0.0175605,0.34884,0.00698132,-0.797615,-0.109956,0.00640019,-0.797948,-0.135743,295,347,3.63557,-0.717905,0
21113459,0,0,0,0.0273433,0.017579,0.348017,0.00698132,-0.797615,-0.109956,0.00641022,-0.797967,-0.13492,295,347,3.63556,-0.717898,0
