[0.000443] INIT: Logger started :)
[0.000788] EVENT: Parameters parsed for blob detector
[0.000956] EVENT: Parameters parsed for math config
[0.001067] EVENT: Parameters parsed for color detection
[0.001149] EVENT: Parameters parsed for system config
[0.211644] EVENT: Camera Initialized Successfully
[1.341608] EVENT: Serial port /dev/serial0 opened
[1.341927] EVENT: Starting Flight controller loop
[1.343587] EVENT: IMU serial port /dev/ttyACM0 opened
[1.343899] EVENT: IMU sensor data loop started
[2.853181] EVENT: Tracking loop started
[3.430703] DEBUG: Frame 0 process time: 0.577393s
[3.546008] DEBUG: Frame 1 process time: 0.076853s
[3.689340] DEBUG: Frame 2 process time: 0.076597s
[3.872854] DEBUG: Frame 3 process time: 0.075930s
[4.024332] DEBUG: Frame 4 process time: 0.078959s
[4.182217] DEBUG: Frame 5 process time: 0.077395s
[4.345869] DEBUG: Frame 6 process time: 0.077324s
[4.502086] DEBUG: Frame 7 process time: 0.081384s
[5.801889] DEBUG: Frame 8 process time: 0.075752s
[5.971664] DEBUG: Frame 9 process time: 0.075662s
[6.116217] DEBUG: Frame 10 process time: 0.091999s
[6.239377] DEBUG: Frame 11 process time: 0.092883s
[6.362142] DEBUG: Frame 12 process time: 0.092464s
[6.475868] DEBUG: Frame 13 process time: 0.083524s
[6.899131] DEBUG: Frame 14 process time: 0.075397s
[7.017833] DEBUG: Frame 15 process time: 0.088373s
[7.138438] DEBUG: Frame 16 process time: 0.090367s
[7.246145] DEBUG: Frame 17 process time: 0.077492s
[7.355053] DEBUG: Frame 18 process time: 0.078691s
[7.670123] DEBUG: Frame 19 process time: 0.075861s
[7.781491] DEBUG: Frame 20 process time: 0.080902s
[7.891411] DEBUG: Frame 21 process time: 0.079709s
[8.001312] DEBUG: Frame 22 process time: 0.079690s
[8.363645] DEBUG: Frame 23 process time: 0.075746s
[8.474294] DEBUG: Frame 24 process time: 0.079487s
[8.582724] DEBUG: Frame 25 process time: 0.078162s
[8.692742] DEBUG: Frame 26 process time: 0.079819s
[9.070331] DEBUG: Frame 27 process time: 0.075171s
[9.180395] DEBUG: Frame 28 process time: 0.079530s
[9.289940] DEBUG: Frame 29 process time: 0.079313s
[9.397670] DEBUG: Frame 30 process time: 0.077516s
[9.774578] DEBUG: Frame 31 process time: 0.075504s
