[0.904913] INIT: Logger started :)
[0.905723] EVENT: Parameters parsed for blob detector
[0.906133] EVENT: Parameters parsed for math config
[0.906394] EVENT: Parameters parsed for color detection
[0.906590] EVENT: Parameters parsed for system config
[1.159807] EVENT: Camera Initialized Successfully
[2.242575] EVENT: Serial port /dev/serial0 opened
[2.242906] EVENT: Starting Flight controller loop
[2.245334] EVENT: IMU serial port /dev/ttyACM0 opened
[2.245586] EVENT: IMU sensor data loop started
[3.361414] EVENT: Tracking loop started
[3.937677] DEBUG: Frame 0 process time: 0.576058s
[4.076908] DEBUG: Frame 1 process time: 0.079625s
[4.198083] DEBUG: Frame 2 process time: 0.081289s
[4.376523] DEBUG: Frame 3 process time: 0.087670s
[4.514005] DEBUG: Frame 4 process time: 0.081465s
[4.654119] DEBUG: Frame 5 process time: 0.081734s
[4.810828] DEBUG: Frame 6 process time: 0.082581s
[5.610488] DEBUG: Frame 7 process time: 0.082662s
[5.771684] DEBUG: Frame 8 process time: 0.111218s
[5.902903] DEBUG: Frame 9 process time: 0.100795s
[6.108041] DEBUG: Frame 10 process time: 0.084437s
[6.241238] DEBUG: Frame 11 process time: 0.102066s
[6.369126] DEBUG: Frame 12 process time: 0.097531s
[6.488747] DEBUG: Frame 13 process time: 0.088912s
[6.608017] DEBUG: Frame 14 process time: 0.088074s
[6.833405] DEBUG: Frame 15 process time: 0.082146s
[6.962351] DEBUG: Frame 16 process time: 0.082787s
[7.090972] DEBUG: Frame 17 process time: 0.083267s
[7.217686] DEBUG: Frame 18 process time: 0.084481s
[7.449569] DEBUG: Frame 19 process time: 0.083416s
[7.596166] DEBUG: Frame 20 process time: 0.081559s
[7.752703] DEBUG: Frame 21 process time: 0.090265s
[7.876578] DEBUG: Frame 22 process time: 0.082419s
[8.016090] DEBUG: Frame 23 process time: 0.081553s
[8.142464] DEBUG: Frame 24 process time: 0.080248s
[8.279886] DEBUG: Frame 25 process time: 0.081630s
[8.443223] DEBUG: Frame 26 process time: 0.081112s
[8.578913] DEBUG: Frame 27 process time: 0.080930s
[10.142710] DEBUG: Frame 28 process time: 0.081228s
[10.272735] DEBUG: Frame 29 process time: 0.083442s
[10.403026] DEBUG: Frame 30 process time: 0.081851s
[10.525336] DEBUG: Frame 31 process time: 0.080567s
[10.647807] DEBUG: Frame 32 process time: 0.080345s
[10.771321] DEBUG: Frame 33 process time: 0.082711s
[10.891160] DEBUG: Frame 34 process time: 0.078647s
[11.006499] DEBUG: Frame 35 process time: 0.078050s
[11.137427] DEBUG: Frame 36 process time: 0.080703s
[11.261690] DEBUG: Frame 37 process time: 0.080842s
[11.382043] DEBUG: Frame 38 process time: 0.077842s
[11.501493] DEBUG: Frame 39 process time: 0.077396s
[11.626723] DEBUG: Frame 40 process time: 0.078717s
[11.750716] DEBUG: Frame 41 process time: 0.082590s
[11.869389] DEBUG: Frame 42 process time: 0.077565s
[11.981827] DEBUG: Frame 43 process time: 0.081714s
[12.090900] DEBUG: Frame 44 process time: 0.078871s
[12.209952] DEBUG: Frame 45 process time: 0.081337s
[12.323152] DEBUG: Frame 46 process time: 0.082364s
[12.434383] DEBUG: Frame 47 process time: 0.081024s
[12.544376] DEBUG: Frame 48 process time: 0.079410s
[12.653107] DEBUG: Frame 49 process time: 0.077783s
[12.769502] DEBUG: Frame 50 process time: 0.085773s
[12.882034] DEBUG: Frame 51 process time: 0.082315s
[12.996401] DEBUG: Frame 52 process time: 0.083814s
[13.112716] DEBUG: Frame 53 process time: 0.086117s
[13.223188] DEBUG: Frame 54 process time: 0.080049s
[13.339726] DEBUG: Frame 55 process time: 0.085630s
[13.504916] DEBUG: Frame 56 process time: 0.077587s
[13.629743] DEBUG: Frame 57 process time: 0.094198s
[13.749888] DEBUG: Frame 58 process time: 0.089694s
[13.871775] DEBUG: Frame 59 process time: 0.090694s
[14.057316] DEBUG: Frame 60 process time: 0.078688s
[14.178403] DEBUG: Frame 61 process time: 0.090031s
[14.344973] DEBUG: Frame 62 process time: 0.076753s
[14.472543] DEBUG: Frame 63 process time: 0.096410s
[14.655112] DEBUG: Frame 64 process time: 0.080768s
[14.783257] DEBUG: Frame 65 process time: 0.097646s
