Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
2641506,4.54945e+08,-7.35811e+08,-253250,-0.010008,0.262538,0.45359,0.0715585,-1.55858,0.00174533,0.133769,-1.80413,-0.0213505,184,203,0.757773,-1.09914,0
3029746,4.54945e+08,-7.35811e+08,-253250,-0.0341485,0.351621,0.481433,0.0855211,-1.57429,0.00174533,0.171872,-1.90892,-0.0491937,183,203,0.710026,-0.882359,0
3297433,4.54945e+08,-7.35811e+08,-253250,-0.0341485,0.351621,0.481433,0.0907571,-1.56382,0,0.177108,-1.89845,-0.0509391,183,208,0.718742,-0.887999,0
3611390,4.54945e+08,-7.35811e+08,-253250,-0.0341485,0.351621,0.481433,0.0855211,-1.56731,-0.00174533,0.171872,-1.90194,-0.0526844,183,201,0.768074,-0.873309,0
3887260,4.54945e+08,-7.35811e+08,-253250,-0.0341485,0.351621,0.481433,0.0785398,-1.56207,-0.00174533,0.16489,-1.8967,-0.0526844,186,203,0.75918,-0.849408,0
4173490,4.54945e+08,-7.35811e+08,-253250,-0.0341485,0.351621,0.481433,0.0680678,-1.54462,0,0.154418,-1.87925,-0.0509391,187,200,0.880562,-0.841646,0
4480403,4.54945e+08,-7.35811e+08,-253250,-0.0341485,0.351621,0.481433,0.0855211,-1.54985,-0.00174533,0.171872,-1.88448,-0.0526844,193,203,0.824845,-0.766363,0
5206739,4.54945e+08,-7.35811e+08,-253250,0.00763186,0.0772572,0.47076,0.137881,-1.58301,0,0.182451,-1.64328,-0.0402658,189,192,0.800284,-1.10085,0
5518052,4.54945e+08,-7.35811e+08,-253250,-0.0443782,0.218906,0.47348,0.144862,-1.55334,-0.00174533,0.241443,-1.75526,-0.0447313,188,198,0.969805,-0.737023,0
5837473,4.54945e+08,-7.35811e+08,-253250,-0.0443782,0.218906,0.47348,0.101229,-1.5708,-0.00174533,0.197809,-1.77271,-0.0447313,184,199,0.806777,-0.817582,0
6109879,4.54945e+08,-7.35811e+08,-253250,-0.0443782,0.218906,0.47348,0.0855211,-1.55858,0,0.182101,-1.76049,-0.042986,183,205,0.791575,-0.856067,0
6469497,4.54945e+08,-7.35811e+08,-253250,-0.0192642,0.270015,0.494077,0.0663225,-1.55509,-0.00174533,0.137789,-1.80811,-0.0653288,192,202,0.757515,-0.883777,0
6735657,4.54945e+08,-7.35811e+08,-253250,0.0650052,0.108872,0.510164,0.0506145,-1.56731,-0.00174533,0.0378114,-1.65919,-0.0814153,212,206,0.52221,-1.25824,0
7002802,4.54945e+08,-7.35811e+08,-253250,0.0650052,0.108872,0.510164,0.0366519,-1.56382,0,0.0238487,-1.6557,-0.0796699,205,199,0.61239,-1.34608,0
7295944,4.54945e+08,-7.35811e+08,-253250,0.0650052,0.108872,0.510164,0.0314159,-1.55509,-0.00174533,0.0186128,-1.64697,-0.0814153,189,192,0.740659,-1.5389,0
7564385,4.54945e+08,-7.35811e+08,-253250,0.0650052,0.108872,0.510164,0.0471239,-1.5708,0.00349066,0.0343207,-1.66268,-0.0761793,191,199,0.596018,-1.50558,0
7841553,4.54945e+08,-7.35811e+08,-253250,0.110348,-0.0630921,0.509722,0.0506145,-1.56731,0.00174533,-0.00753121,-1.48722,-0.0774827,179,198,0.620398,-2.03343,0
8161233,4.54945e+08,-7.35811e+08,-253250,0.0768371,0.00762675,0.51545,0.0663225,-1.55509,0.00174533,0.0416874,-1.54572,-0.0832105,171,196,0.764958,-1.86159,0
8440638,4.54945e+08,-7.35811e+08,-253250,0.0376635,0.166014,0.526701,0.0610865,-1.5708,-0.00349066,0.075625,-1.71982,-0.0996978,166,201,0.623787,-1.56373,0
8710122,4.54945e+08,-7.35811e+08,-253250,0.0376635,0.166014,0.526701,0.0471239,-1.54462,-0.00174533,0.0616624,-1.69364,-0.0979524,170,200,0.764234,-1.53002,0
8963346,4.54945e+08,-7.35811e+08,-253250,0.0376635,0.166014,0.526701,0.0226893,-1.55858,-0.00349066,0.0372278,-1.7076,-0.0996978,175,203,0.600663,-1.48313,0
9218367,4.54945e+08,-7.35811e+08,-253250,0.031884,0.336128,0.556462,-0.00349066,-1.56207,0,0.0168273,-1.88121,-0.125968,175,203,0.529684,-1.30645,0
9484297,4.54945e+08,-7.35811e+08,-253250,0.031884,0.336128,0.556462,-0.0261799,-1.5708,-0.00174533,-0.00586194,-1.88993,-0.127713,181,197,0.508849,-1.24433,0
9735940,4.54945e+08,-7.35811e+08,-253250,0.031884,0.336128,0.556462,-0.0174533,-1.56207,0.00174533,0.00286471,-1.88121,-0.124222,175,199,0.556102,-1.31465,0
10054359,4.54945e+08,-7.35811e+08,-253250,0.031884,0.336128,0.556462,-0.015708,-1.59174,0.00174533,0.00461003,-1.91088,-0.124222,171,199,0.388627,-1.35835,0
10325084,4.54945e+08,-7.35811e+08,-253250,0.031884,0.336128,0.556462,-0.00698132,-1.57778,0.00174533,0.0133367,-1.89692,-0.124222,159,199,0.486985,-1.49157,0
10582838,4.54945e+08,-7.35811e+08,-253250,0.031884,0.336128,0.556462,-0.0122173,-1.5708,-0.00174533,0.00810069,-1.88993,-0.127713,151,207,0.419718,-1.58282,0
10849507,4.54945e+08,-7.35811e+08,-253250,0.031884,0.336128,0.556462,-0.0366519,-1.56382,0,-0.0163339,-1.88295,-0.125968,150,198,0.520403,-1.60741,0
11107244,4.54945e+08,-7.35811e+08,-253250,0.031884,0.336128,0.556462,-0.0558505,-1.55509,-0.00174533,-0.0355325,-1.87423,-0.127713,155,205,0.449976,-1.55495,0
11362763,4.54945e+08,-7.35811e+08,-253250,0.182408,-0.00304586,0.623461,-0.0558505,-1.58301,0.00174533,-0.186056,-1.56298,-0.191222,155,203,0.223411,-2.841,0
11620591,4.54945e+08,-7.35811e+08,-253250,0.182408,-0.00304586,0.623461,-0.0279253,-1.56731,0,-0.158131,-1.54727,-0.192967,155,201,0.398936,-2.8441,0
12503788,4.54945e+08,-7.35811e+08,-253250,0.182408,-0.00304586,0.623461,0.0314159,-1.5708,-0.00174533,-0.0987898,-1.55076,-0.194712,144,193,0.584629,-2.98774,0
12773685,4.54945e+08,-7.35811e+08,-253250,0.0236479,0.323582,0.568348,0.00872665,-1.53414,-0.00349066,0.0372808,-1.84074,-0.141345,138,198,0.78771,-1.65245,0
13052801,4.54945e+08,-7.35811e+08,-253250,0.0236479,0.323582,0.568348,-0.0226893,-1.55509,-0.00174533,0.00586483,-1.86168,-0.139599,135,194,0.652269,-1.70108,0
13326523,4.54945e+08,-7.35811e+08,-253250,0.0236479,0.323582,0.568348,-0.0401426,-1.56382,0.00174533,-0.0115885,-1.87041,-0.136109,141,204,0.456975,-1.64679,0
13722503,4.54945e+08,-7.35811e+08,-253250,0.0236479,0.323582,0.568348,-0.00349066,-1.58301,0,0.0250635,-1.88961,-0.137854,151,201,0.448712,-1.5118,0
13992072,4.54945e+08,-7.35811e+08,-253250,0.0236479,0.323582,0.568348,0.00698132,-1.5708,0.00174533,0.0355354,-1.87739,-0.136109,167,197,0.579893,-1.32509,0
14259048,4.54945e+08,-7.35811e+08,-253250,0.0791932,0.187514,0.681396,0.0279253,-1.59174,0.00174533,0.00093405,-1.76226,-0.249157,154,202,0.379157,-1.81249,0
14550172,4.54945e+08,-7.35811e+08,-253250,0.109015,0.0201777,0.683574,0.0663225,-1.5865,0.00349066,0.00950944,-1.58969,-0.24959,144,200,0.555188,-2.38366,0
14819906,4.54945e+08,-7.35811e+08,-253250,0.153963,-0.180544,0.651821,0.0820305,-1.57952,0,-0.0197308,-1.38199,-0.221327,146,198,0.725071,-2.96468,0
15097533,4.54945e+08,-7.35811e+08,-253250,0.153963,-0.180544,0.651821,0.0733038,-1.57429,0.00174533,-0.0284574,-1.37675,-0.219582,158,201,0.703108,-2.80648,0
15372608,4.54945e+08,-7.35811e+08,-253250,0.153963,-0.180544,0.651821,0.0663225,-1.55334,0,-0.0354388,-1.35581,-0.221327,165,195,0.890808,-2.72432,0
15643907,4.54945e+08,-7.35811e+08,-253250,0.154776,-0.165434,0.618552,0.0785398,-1.54985,0.00174533,-0.0240339,-1.36743,-0.186312,177,197,0.872466,-2.50872,0
16058587,4.54945e+08,-7.35811e+08,-253250,0.154776,-0.165434,0.618552,0.0680678,-1.54113,-0.00349066,-0.0345058,-1.3587,-0.191548,187,204,0.812128,-2.39216,0
16331700,4.54945e+08,-7.35811e+08,-253250,0.154776,-0.165434,0.618552,0.0698132,-1.56207,-0.00174533,-0.0327605,-1.37965,-0.189803,189,197,0.775906,-2.36297,0
16673005,4.54945e+08,-7.35811e+08,-253250,0.154776,-0.165434,0.618552,0.0471239,-1.56382,0,-0.0554498,-1.38139,-0.188058,183,200,0.6928,-2.44706,0
18094838,4.54945e+08,-7.35811e+08,-253250,0.0491883,0.540368,0.727434,0.546288,-1.57429,0,0.549302,-2.09766,-0.29694,185,195,1.12897,-0.126931,0
18367439,4.54945e+08,-7.35811e+08,-253250,-0.45232,0.389328,0.698728,0.560251,-1.56382,0.00174533,1.06477,-1.93615,-0.266488,189,207,0.583077,3.2314,0
18623689,4.54945e+08,-7.35811e+08,-253250,-0.430265,0.38616,0.704612,0.499164,-1.5708,0,0.981632,-1.93997,-0.274118,184,197,0.655093,3.02071,0
18881650,4.54945e+08,-7.35811e+08,-253250,-0.305565,0.368837,0.734719,0.429351,-1.56382,-0.00349066,0.787118,-1.91566,-0.307716,183,205,0.730083,1.81938,0
