Timestamp,Latitude,Longitude,Altitude,Plane Roll,Plane Pitch,Plane Yaw,Gimbal Roll,Gimbal Pitch,Gimbal Yaw,Gimbal Delta Roll,Gimbal Delta Pitch,Gimbal Delta Yaw,X in frame,Y in frame,Estimated X,Estimated Y,Estimated Z
2617319,4.54945e+08,-7.35811e+08,-253250,-0.0229451,0.179482,0.478048,0.1309,-1.5708,0,0.192925,-1.71126,-0.0641381,298,75,1.98361,0.573614,0
3000613,4.54945e+08,-7.35811e+08,-253250,0.00577022,-0.0120359,0.466846,0.1309,-1.57429,0,0.16421,-1.52324,-0.0529359,299,81,1.91934,0.266442,0
3285778,4.54945e+08,-7.35811e+08,-253250,0.00577022,-0.0120359,0.466846,0.136136,-1.56731,0.00174533,0.169446,-1.51626,-0.0511906,300,77,2.00845,0.299898,0
3588268,4.54945e+08,-7.35811e+08,-253250,0.00577022,-0.0120359,0.466846,0.109956,-1.5708,0,0.143266,-1.51975,-0.0529359,300,81,1.94122,0.238603,0
3868110,4.54945e+08,-7.35811e+08,-253250,0.00577022,-0.0120359,0.466846,0.106465,-1.58825,0.00174533,0.139775,-1.5372,-0.0511906,299,80,1.843,0.225668,0
4261106,4.54945e+08,-7.35811e+08,-253250,0.00577022,-0.0120359,0.466846,0.136136,-1.56207,0,0.169446,-1.51102,-0.0529359,299,85,1.95063,0.268561,0
4695084,4.54945e+08,-7.35811e+08,-253250,0.00577022,-0.0120359,0.466846,0.150098,-1.56382,-0.00174533,0.183409,-1.51276,-0.0546813,302,75,2.04921,0.346683,0
4971506,4.54945e+08,-7.35811e+08,-253250,-0.00269872,0.0879165,0.45856,0.122173,-1.55509,-0.00174533,0.163952,-1.60399,-0.0463953,295,75,2.11402,0.311597,0
6633999,4.54945e+08,-7.35811e+08,-253250,-0.0272758,-0.0295537,0.507247,0.00349066,-1.57778,0,0.0698469,-1.50921,-0.093337,295,69,2.0141,0.214287,0
6920022,4.54945e+08,-7.35811e+08,-253250,0.0441596,0.222267,0.603217,-0.00872665,-1.57778,-0.00174533,-0.0138058,-1.76103,-0.191053,291,73,1.95011,-0.156329,0
7217159,4.54945e+08,-7.35811e+08,-253250,0.076737,0.138933,0.60426,-0.00872665,-1.56207,-0.00349066,-0.0463832,-1.66199,-0.193841,310,81,2.0128,-0.277782,0
7483646,4.54945e+08,-7.35811e+08,-253250,0.105883,0.120233,0.606065,-0.0663225,-1.5708,-0.00349066,-0.133125,-1.65202,-0.195646,305,80,1.98192,-0.689514,0
7718892,4.54945e+08,-7.35811e+08,-253250,0.126782,0.0687963,0.590428,-0.0680678,-1.55509,0,-0.155769,-1.58487,-0.176518,289,75,2.14923,-1.11244,0
7979408,4.54945e+08,-7.35811e+08,-253250,0.107,0.0478147,0.578025,-0.020944,-1.54811,-0.00523599,-0.0888634,-1.55691,-0.169351,255,70,2.2325,-1.31678,0
8219448,4.54945e+08,-7.35811e+08,-253250,0.0912667,0.095709,0.583343,-0.020944,-1.5708,0.00349066,-0.0731302,-1.62749,-0.165943,256,79,1.96195,-1.10166,0
8485279,4.54945e+08,-7.35811e+08,-253250,0.0912667,0.095709,0.583343,-0.015708,-1.57429,0,-0.0678942,-1.63098,-0.169433,244,79,1.93258,-1.23986,0
8744395,4.54945e+08,-7.35811e+08,-253250,0.0269376,0.26185,0.581729,-0.00698132,-1.5708,0,0.00516155,-1.79363,-0.167819,231,78,1.91978,-0.703548,0
9021147,4.54945e+08,-7.35811e+08,-253250,0.0252055,0.328889,0.599126,-0.015708,-1.57778,0,-0.00183305,-1.86765,-0.185216,248,83,1.79185,-0.409176,0
9275469,4.54945e+08,-7.35811e+08,-253250,0.0252055,0.328889,0.599126,-0.0610865,-1.56382,0.00174533,-0.0472116,-1.85369,-0.183471,251,83,1.84408,-0.459279,0
9546201,4.54945e+08,-7.35811e+08,-253250,0.0749656,0.398963,0.645573,-0.0994838,-1.5708,-0.00349066,-0.135369,-1.93075,-0.235154,250,77,1.80433,-0.748992,0
9811954,4.54945e+08,-7.35811e+08,-253250,0.0749656,0.398963,0.645573,-0.0942478,-1.55334,-0.00174533,-0.130133,-1.91329,-0.233409,255,85,1.83743,-0.675797,0
10094417,4.54945e+08,-7.35811e+08,-253250,0.0596972,0.285586,0.650797,-0.0401426,-1.56731,0,-0.0607593,-1.81388,-0.236887,258,81,1.87282,-0.57872,0
10408018,4.54945e+08,-7.35811e+08,-253250,0.0596972,0.285586,0.650797,0.00349066,-1.56731,-0.00349066,-0.0171261,-1.81388,-0.240378,247,84,1.86534,-0.62816,0
10688422,4.54945e+08,-7.35811e+08,-253250,0.0555874,0.11787,0.641188,0.0523599,-1.5708,0,0.0358529,-1.64965,-0.227279,228,76,2.03524,-0.96482,0
11023609,4.54945e+08,-7.35811e+08,-253250,0.0555874,0.11787,0.641188,0.0610865,-1.5708,0,0.0445795,-1.64965,-0.227279,221,78,2.02377,-1.03121,0
11281472,4.54945e+08,-7.35811e+08,-253250,0.0555874,0.11787,0.641188,0.0401426,-1.55858,0,0.0236356,-1.63743,-0.227279,236,87,1.96927,-0.901152,0
11538497,4.54945e+08,-7.35811e+08,-253250,0.0555874,0.11787,0.641188,0.0610865,-1.56731,-0.00349066,0.0445795,-1.64616,-0.230769,246,68,2.14927,-0.737625,0
11904032,4.54945e+08,-7.35811e+08,-253250,-0.0269294,0.337067,0.663204,0.0837758,-1.5708,0,0.149786,-1.86885,-0.249294,266,68,1.97455,0.543048,0
12171070,4.54945e+08,-7.35811e+08,-253250,-0.00332715,0.392406,0.67837,0.0506145,-1.56382,-0.00349066,0.0930221,-1.91721,-0.267951,278,70,1.97138,0.537484,0
12506786,4.54945e+08,-7.35811e+08,-253250,0.0511498,0.377864,0.711732,-0.0471239,-1.5708,0,-0.0591933,-1.90965,-0.297822,271,74,1.87717,-0.122691,0
12773068,4.54945e+08,-7.35811e+08,-253250,0.0512043,0.29981,0.724158,-0.0401426,-1.57429,-0.00174533,-0.0522664,-1.83508,-0.311993,270,76,1.85629,-0.239051,0
13031369,4.54945e+08,-7.35811e+08,-253250,0.0512043,0.29981,0.724158,0.00698132,-1.57429,0.00349066,-0.00514255,-1.83508,-0.306757,282,75,1.90356,-0.00725386,0
13301240,4.54945e+08,-7.35811e+08,-253250,0.089083,0.175746,0.74381,-0.00698132,-1.56207,0,-0.0569839,-1.6988,-0.3299,280,85,1.95829,-0.552816,0
13642892,4.54945e+08,-7.35811e+08,-253250,0.089083,0.175746,0.74381,-0,-1.55334,-0.00349066,-0.0500026,-1.69007,-0.333391,263,78,2.0892,-0.753324,0
13910849,4.54945e+08,-7.35811e+08,-253250,0.089083,0.175746,0.74381,0.0767945,-1.54985,-0.00349066,0.0267919,-1.68658,-0.333391,241,85,2.08621,-0.871135,0
14166181,4.54945e+08,-7.35811e+08,-253250,0.089083,0.175746,0.74381,0.115192,-1.55858,-0.00174533,0.0651891,-1.69531,-0.331646,252,78,2.13893,-0.658361,0
14449916,4.54945e+08,-7.35811e+08,-253250,0.089083,0.175746,0.74381,0.122173,-1.56207,-0.00174533,0.0721705,-1.6988,-0.331646,260,80,2.09024,-0.550181,0
14717598,4.54945e+08,-7.35811e+08,-253250,0.0433121,-0.0762771,0.628812,0.150098,-1.5708,0,0.145867,-1.4555,-0.214903,251,85,2.01914,-0.659309,0
14999934,4.54945e+08,-7.35811e+08,-253250,0.0433121,-0.0762771,0.628812,0.158825,-1.5708,0,0.154593,-1.4555,-0.214903,269,89,1.94139,-0.438893,0
15328031,4.54945e+08,-7.35811e+08,-253250,0.0433121,-0.0762771,0.628812,0.169297,-1.56207,0,0.165065,-1.44678,-0.214903,293,88,1.96191,-0.137477,0
15597095,4.54945e+08,-7.35811e+08,-253250,0.0433121,-0.0762771,0.628812,0.214675,-1.56207,0,0.210444,-1.44678,-0.214903,298,91,1.91083,-0.00445564,0
15853655,4.54945e+08,-7.35811e+08,-253250,0.0266346,-0.150327,0.600839,0.211185,-1.54113,0,0.223631,-1.35178,-0.18693,306,94,1.97384,0.133541,0
16110932,4.54945e+08,-7.35811e+08,-253250,0.0157092,-0.0809639,0.626917,0.18675,-1.54462,0,0.210121,-1.42464,-0.213007,314,89,1.97086,0.328908,0
16346546,4.54945e+08,-7.35811e+08,-253250,0.00908272,0.00117131,0.64655,0.153589,-1.55509,0.00174533,0.183587,-1.51725,-0.230895,313,88,1.89957,0.409321,0
16671359,4.54945e+08,-7.35811e+08,-253250,0.00346703,0.10959,0.680367,0.102974,-1.5708,0.00523599,0.138588,-1.64137,-0.261222,329,83,1.80047,0.723121,0
17198211,4.54945e+08,-7.35811e+08,-253250,-0.0158392,0.343999,0.73931,0.0541052,-1.55509,0.00174533,0.109025,-1.86007,-0.323655,332,95,1.61857,1.2747,0
17458758,4.54945e+08,-7.35811e+08,-253250,-0.0120596,0.387956,0.760906,0.0401426,-1.57778,0.00174533,0.0912826,-1.92672,-0.345251,320,88,1.54211,1.20771,0
17711591,4.54945e+08,-7.35811e+08,-253250,-0.0120596,0.387956,0.760906,-0,-1.57429,-0.00174533,0.05114,-1.92323,-0.348741,306,97,1.47178,0.959133,0
17966975,4.54945e+08,-7.35811e+08,-253250,0.0224754,0.357655,0.79703,0.00349066,-1.55858,0,0.0200957,-1.87722,-0.383121,286,93,1.67152,0.480721,0
18284591,4.54945e+08,-7.35811e+08,-253250,0.0580869,0.218903,0.785905,0.0366519,-1.56207,0,0.0176454,-1.74196,-0.371995,276,87,1.8749,-0.158895,0
18545760,4.54945e+08,-7.35811e+08,-253250,0.079094,0.174884,0.787192,0.00349066,-1.56731,-0.00174533,-0.0365229,-1.70318,-0.375028,277,89,1.86081,-0.455812,0
18861224,4.54945e+08,-7.35811e+08,-253250,0.0873218,0.0467728,0.73302,0.0174533,-1.56382,-0.00523599,-0.030788,-1.57157,-0.324346,264,87,1.98774,-0.936697,0
19119950,4.54945e+08,-7.35811e+08,-253250,0.0598538,-0.0403934,0.676819,0.0767945,-1.54462,-0.00698132,0.0560211,-1.46521,-0.269891,255,78,2.24603,-0.870652,0
19427565,4.54945e+08,-7.35811e+08,-253250,0.069446,-0.0995602,0.645955,0.141372,-1.57952,0,0.111006,-1.44095,-0.232045,269,86,1.9621,-0.693801,0
19684968,4.54945e+08,-7.35811e+08,-253250,0.093403,-0.165094,0.62667,0.155334,-1.56731,0,0.101012,-1.3632,-0.21276,269,91,2.03124,-0.902098,0
19914592,4.54945e+08,-7.35811e+08,-253250,0.0779479,-0.188299,0.634031,0.181514,-1.56731,0,0.142647,-1.33999,-0.220121,259,86,2.10819,-0.884851,0
20174910,4.54945e+08,-7.35811e+08,-253250,0.0715088,-0.0596254,0.651659,0.13439,-1.54811,-0.00174533,0.101962,-1.44947,-0.239495,280,92,2.06803,-0.560909,0
20487684,4.54945e+08,-7.35811e+08,-253250,0.0316551,0.0946236,0.688971,0.0925025,-1.56731,0,0.0999278,-1.62291,-0.275061,299,89,1.84579,0.105908,0
