[0.000520] INIT: Logger started :)
[0.000891] EVENT: Parameters parsed for blob detector
[0.001057] EVENT: Parameters parsed for math config
[0.001167] EVENT: Parameters parsed for color detection
[0.001249] EVENT: Parameters parsed for system config
[0.216810] EVENT: Camera Initialized Successfully
[0.787414] EVENT: Serial port /dev/serial0 opened
[0.787773] EVENT: Starting Flight controller loop
[0.788827] EVENT: IMU serial port /dev/ttyACM0 opened
[0.789137] EVENT: IMU sensor data loop started
[1.831531] EVENT: Tracking loop started
[2.412991] DEBUG: Frame 0 process time: 0.581328s
[2.528044] DEBUG: Frame 1 process time: 0.076784s
[2.672152] DEBUG: Frame 2 process time: 0.076336s
[2.821710] DEBUG: Frame 3 process time: 0.078558s
[2.956615] DEBUG: Frame 4 process time: 0.077529s
[3.092101] DEBUG: Frame 5 process time: 0.077031s
[3.258118] DEBUG: Frame 6 process time: 0.083128s
[3.851875] DEBUG: Frame 7 process time: 0.077000s
[3.988609] DEBUG: Frame 8 process time: 0.089453s
[4.176296] DEBUG: Frame 9 process time: 0.077366s
[4.301263] DEBUG: Frame 10 process time: 0.094294s
[4.481619] DEBUG: Frame 11 process time: 0.078759s
[4.617655] DEBUG: Frame 12 process time: 0.104891s
[4.779542] DEBUG: Frame 13 process time: 0.080128s
[4.897512] DEBUG: Frame 14 process time: 0.087059s
[5.013628] DEBUG: Frame 15 process time: 0.085887s
[5.142320] DEBUG: Frame 16 process time: 0.090128s
[5.348274] DEBUG: Frame 17 process time: 0.081716s
[5.468882] DEBUG: Frame 18 process time: 0.089665s
[5.647954] DEBUG: Frame 19 process time: 0.077587s
[5.771520] DEBUG: Frame 20 process time: 0.092563s
[5.940417] DEBUG: Frame 21 process time: 0.077904s
[6.060638] DEBUG: Frame 22 process time: 0.089888s
[6.237961] DEBUG: Frame 23 process time: 0.083244s
[6.365839] DEBUG: Frame 24 process time: 0.097365s
[6.539937] DEBUG: Frame 25 process time: 0.077429s
[6.661580] DEBUG: Frame 26 process time: 0.090894s
[6.827023] DEBUG: Frame 27 process time: 0.080720s
[6.949544] DEBUG: Frame 28 process time: 0.091828s
[7.112148] DEBUG: Frame 29 process time: 0.078198s
[7.230974] DEBUG: Frame 30 process time: 0.087977s
[7.404196] DEBUG: Frame 31 process time: 0.077854s
[7.524800] DEBUG: Frame 32 process time: 0.089712s
[7.702355] DEBUG: Frame 33 process time: 0.076376s
[7.824863] DEBUG: Frame 34 process time: 0.092115s
[7.978202] DEBUG: Frame 35 process time: 0.079728s
[8.098714] DEBUG: Frame 36 process time: 0.089222s
[8.283952] DEBUG: Frame 37 process time: 0.086073s
[8.423478] DEBUG: Frame 38 process time: 0.108540s
[8.567387] DEBUG: Frame 39 process time: 0.080810s
[8.709309] DEBUG: Frame 40 process time: 0.111081s
[8.856733] DEBUG: Frame 41 process time: 0.078901s
[8.978353] DEBUG: Frame 42 process time: 0.090829s
[9.140701] DEBUG: Frame 43 process time: 0.081185s
[9.262782] DEBUG: Frame 44 process time: 0.091057s
[9.423836] DEBUG: Frame 45 process time: 0.078119s
[9.540815] DEBUG: Frame 46 process time: 0.086242s
[9.706577] DEBUG: Frame 47 process time: 0.076905s
[9.830204] DEBUG: Frame 48 process time: 0.092651s
[10.010775] DEBUG: Frame 49 process time: 0.077336s
[10.129940] DEBUG: Frame 50 process time: 0.088241s
[10.291192] DEBUG: Frame 51 process time: 0.081671s
[10.412684] DEBUG: Frame 52 process time: 0.091112s
[10.609279] DEBUG: Frame 53 process time: 0.080065s
[10.733201] DEBUG: Frame 54 process time: 0.092835s
[10.887000] DEBUG: Frame 55 process time: 0.077798s
[11.005167] DEBUG: Frame 56 process time: 0.086808s
[11.168402] DEBUG: Frame 57 process time: 0.074867s
[11.293570] DEBUG: Frame 58 process time: 0.094021s
[11.454010] DEBUG: Frame 59 process time: 0.076837s
[11.574852] DEBUG: Frame 60 process time: 0.089922s
[11.737747] DEBUG: Frame 61 process time: 0.076556s
[11.858975] DEBUG: Frame 62 process time: 0.090492s
[11.985685] DEBUG: Frame 63 process time: 0.096115s
[12.166600] DEBUG: Frame 64 process time: 0.077535s
[12.295212] DEBUG: Frame 65 process time: 0.097557s
[12.411762] DEBUG: Frame 66 process time: 0.086228s
[12.582932] DEBUG: Frame 67 process time: 0.078009s
[12.710920] DEBUG: Frame 68 process time: 0.097503s
[12.828288] DEBUG: Frame 69 process time: 0.087125s
[13.009977] DEBUG: Frame 70 process time: 0.077048s
[13.136794] DEBUG: Frame 71 process time: 0.076391s
[13.254209] DEBUG: Frame 72 process time: 0.086601s
[13.366966] DEBUG: Frame 73 process time: 0.082533s
[13.479889] DEBUG: Frame 74 process time: 0.082664s
[13.610898] DEBUG: Frame 75 process time: 0.087851s
[13.769367] DEBUG: Frame 76 process time: 0.079984s
[13.888000] DEBUG: Frame 77 process time: 0.087614s
[14.002008] DEBUG: Frame 78 process time: 0.083710s
[14.413751] DEBUG: Frame 79 process time: 0.077167s
[14.533426] DEBUG: Frame 80 process time: 0.089174s
[14.646733] DEBUG: Frame 81 process time: 0.083083s
[14.771335] DEBUG: Frame 82 process time: 0.094350s
[14.937290] DEBUG: Frame 83 process time: 0.076960s
[15.058532] DEBUG: Frame 84 process time: 0.090029s
[15.232811] DEBUG: Frame 85 process time: 0.079149s
[18.703585] DEBUG: Frame 86 process time: 0.079877s
[18.824084] DEBUG: Frame 87 process time: 0.089388s
[19.010173] DEBUG: Frame 88 process time: 0.078336s
[19.130405] DEBUG: Frame 89 process time: 0.089022s
[19.244395] DEBUG: Frame 90 process time: 0.083765s
[19.366710] DEBUG: Frame 91 process time: 0.090760s
[19.536286] DEBUG: Frame 92 process time: 0.076544s
[19.655238] DEBUG: Frame 93 process time: 0.088293s
[19.826743] DEBUG: Frame 94 process time: 0.078747s
[19.946139] DEBUG: Frame 95 process time: 0.088617s
[20.105314] DEBUG: Frame 96 process time: 0.077873s
[20.228397] DEBUG: Frame 97 process time: 0.091991s
[20.345225] DEBUG: Frame 98 process time: 0.086594s
[20.462890] DEBUG: Frame 99 process time: 0.086646s
[20.493316] EVENT: Calculated point:  1.76479 -1.26794        0
[20.493368] CLOSE: Closing Logger :)
